Firm,Day,LNP FP,LNP FP adj
Morgan multi-mode,19,37.0,36.847
Morgan multi-mode,26,37.0,36.847
Newspoll2,69,33.0,33.441
Morgan multi-mode,82,38.943,38.79
Morgan multi-mode,89,38.254,38.102
ResolvePM,90,28.0,30.755
Morgan multi-mode,96,39.725,39.572
Morgan multi-mode,103,36.684,36.532
Newspoll2,105,31.0,31.441
Morgan multi-mode,110,37.487,37.334
Morgan multi-mode,117,36.093,35.941
ResolvePM,120,32.0,34.755
Morgan multi-mode,124,36.451,36.298
Morgan multi-mode,131,37.975,37.822
Morgan multi-mode,138,37.354,37.202
ResolvePM,141,30.0,32.755
Morgan multi-mode,145,36.402,36.249
Morgan multi-mode,152,37.34,37.188
Morgan multi-mode,159,37.234,37.082
Newspoll2,161,35.0,35.441
ResolvePM,160,32.0,34.755
Morgan multi-mode,162,37.0,36.847
Morgan multi-mode,166,38.979,38.827
Morgan multi-mode,173,37.554,37.402
Morgan multi-mode,180,37.662,37.51
Morgan multi-mode,187,37.598,37.446
Essential,189,33.0,34.098
Morgan multi-mode,194,33.482,33.33
Newspoll2,195,35.0,35.441
ResolvePM,195,30.0,32.755
Essential,202,31.579,32.677
Morgan multi-mode,203,32.356,32.204
Freshwater,210,36.0,33.692
Morgan multi-mode,233,31.398,31.245
Essential,244,32.632,33.73
ResolvePM,246,29.0,31.755
Morgan multi-mode,247,33.624,33.471
Newspoll2,259,34.0,34.441
Essential,259,31.579,32.677
Morgan multi-mode,257,32.854,32.701
Morgan multi-mode,264,33.515,33.362
Morgan multi-mode,271,33.261,33.109
ResolvePM,272,31.0,33.755
Essential,272,31.915,33.013
Morgan multi-mode,278,34.524,34.371
Morgan multi-mode,285,33.584,33.432
Essential,286,34.409,35.507
Newspoll2,287,35.0,35.441
Morgan multi-mode,292,33.946,33.793
Morgan multi-mode,299,31.887,31.735
Essential,300,32.632,33.73
ResolvePM,300,30.0,32.755
Morgan multi-mode,306,31.734,31.581
Newspoll2,314,33.0,33.441
Morgan multi-mode,313,34.372,34.219
Essential,314,31.579,32.677
Morgan multi-mode,320,33.515,33.362
Morgan multi-mode,327,32.828,32.675
Essential,328,31.959,33.057
ResolvePM,328,28.0,30.755
Newspoll2,335,33.0,33.441
Morgan multi-mode,334,33.593,33.44
Essential,342,34.043,35.141
Morgan multi-mode,341,35.333,35.181
Morgan multi-mode,348,35.282,35.129
Newspoll2,356,34.0,34.441
Essential,356,32.979,34.077
ResolvePM,356,30.0,32.755
Morgan multi-mode,355,31.746,31.594
Freshwater,360,37.0,34.692
Morgan multi-mode,362,33.73,33.577
Essential,370,32.632,33.73
Morgan multi-mode,369,33.369,33.216
Newspoll2,377,34.0,34.441
Morgan multi-mode,376,34.426,34.274
Essential,384,33.684,34.782
ResolvePM,384,30.0,32.755
Morgan multi-mode,383,33.5,33.347
Morgan multi-mode,390,34.0,33.847
Newspoll2,398,35.0,35.441
Essential,398,32.258,33.356
Morgan multi-mode,397,32.0,31.847
Essential,412,33.684,34.782
Morgan multi-mode,411,35.0,34.847
Newspoll2,419,34.0,34.441
ResolvePM,419,30.0,32.755
Morgan multi-mode,418,35.0,34.847
Essential,426,34.043,35.141
Morgan multi-mode,425,37.5,37.347
Morgan multi-mode,432,34.5,34.347
Essential,440,32.258,33.356
Morgan multi-mode,439,35.0,34.847
ResolvePM,447,33.0,35.755
Morgan multi-mode,446,34.5,34.347
Redbridge,448,32.0,32.073
Essential,454,34.737,35.835
Morgan multi-mode,453,36.5,36.347
Morgan multi-mode,460,35.0,34.847
Newspoll,468,37.0,36.768
Essential,468,34.043,35.141
Morgan multi-mode,467,37.5,37.347
Redbridge,469,36.0,36.073
ResolvePM,475,34.0,36.755
Morgan multi-mode,474,37.0,36.847
Essential,482,34.043,35.141
Newspoll,490,36.0,35.768
Freshwater,490,37.0,34.692
Morgan multi-mode,482,34.5,34.347
