Firm,Day,GRN FP,GRN FP adj
Newspoll,1,6.0,4.09
Newspoll,62,9.0,7.09
Newspoll,124,12.0,10.09
Nielsen,148,10.0,9.492
Newspoll,184,12.0,10.09
Newspoll,245,14.0,12.09
Newspoll,306,12.0,10.09
Newspoll,367,15.0,13.09
Nielsen,416,11.0,10.492
Newspoll,428,13.0,11.09
Newspoll,490,15.0,13.09
Newspoll,610,14.0,12.09
Newspoll,671,12.0,10.09
Newspoll,732,15.0,13.09
Saulwick,782,10.0,9.936
Newspoll,793,14.0,12.09
Nielsen,854,14.0,13.492
Newspoll,855,14.0,12.09
Morgan Phone,877,11.5,11.788
Newspoll,914,14.0,12.092
Newspoll,975,18.0,16.17
Morgan Phone,984,13.5,13.813
Newspoll,1036,17.0,15.241
Essential,1097,12.0,12.439
Galaxy,1102,14.0,13.514
Morgan Phone,1114,13.0,13.329
Newspoll,1122,19.0,17.241
Nielsen,1123,16.0,15.343
Nielsen,1138,16.0,15.343
Newspoll,1137,14.0,12.241
Morgan Phone,1144,15.5,15.829
Galaxy,1145,16.0,15.514
JWS Research,1148,19.0,17.857
Galaxy,1151,14.0,13.514
Morgan Phone,1151,13.0,13.329
Nielsen,1151,14.0,13.343
Newspoll,1151,15.0,13.241
