Firm,Day,GRN FP,GRN FP adj
SMS Morgan,1,12.5,8.831
SMS Morgan,42,12.0,8.331
SMS Morgan,70,14.0,10.331
SMS Morgan,112,15.0,11.331
SMS Morgan,141,17.5,13.831
Newspoll2,143,11.0,10.825
Essential,187,9.0,10.108
SMS Morgan,184,13.5,9.831
Essential,218,9.0,10.108
Newspoll2,234,10.0,9.825
SMS Morgan,239,15.0,11.331
Essential,248,11.0,12.108
Essential,279,10.0,11.108
SMS Morgan,295,14.5,10.831
Essential,310,9.0,10.108
Essential,339,10.0,11.108
SMS Morgan,351,15.5,11.831
Essential,401,9.0,10.108
SMS Morgan,406,17.0,13.331
Essential,461,9.0,10.108
SMS Morgan,498,13.0,9.331
Essential,492,9.0,10.108
ReachTEL,502,8.7,9.33
Newspoll2,509,11.0,10.825
Essential,523,9.0,10.108
SMS Morgan,539,14.0,10.331
Essential,553,8.0,9.108
Essential,584,9.0,10.108
Newspoll2,589,11.0,10.825
ReachTEL,600,8.6,9.23
Essential,614,9.0,10.108
ReachTEL,650,8.4,9.03
Essential,676,9.0,10.108
Newspoll2,690,10.0,9.825
Essential,766,10.0,11.108
Essential,827,9.0,10.108
Essential,858,9.0,10.108
Essential,889,8.0,9.108
ReachTEL,908,9.9,10.53
Essential,919,10.0,11.108
Essential,950,9.0,10.108
Essential,980,9.0,10.108
Newspoll2,1043,11.0,10.825
ReachTEL,1069,10.0,10.63
ReachTEL,1258,10.8,11.133
Galaxy,1328,9.0,9.072
uComms,1329,9.9,9.6
Newspoll2,1387,10.0,9.735
Essential,1404,10.0,10.05
uComms,1426,10.1,9.8
Newspoll2,1429,10.0,9.735
Galaxy,1435,9.0,9.072
Newspoll2,1439,10.0,9.735
