Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,49.5,46.267
Morgan Phone,2,49.0,48.62
F2F Morgan,36,51.5,48.267
Newspoll,46,46.0,47.344
F2F Morgan,50,49.0,45.767
Morgan Phone,51,53.0,52.62
Morgan Phone,58,50.0,49.62
F2F Morgan,64,54.0,50.767
Newspoll,74,46.0,47.344
F2F Morgan,78,56.5,53.267
Newspoll,88,51.0,52.344
F2F Morgan,92,55.5,52.267
Morgan Phone,99,53.5,53.12
Newspoll,102,47.0,48.344
F2F Morgan,106,55.0,51.767
Morgan Phone,117,51.0,50.62
Newspoll,123,48.0,49.344
Morgan Phone,128,54.0,53.62
F2F Morgan,131,54.0,50.767
Morgan Phone,135,55.0,54.62
Newspoll,137,51.0,52.344
F2F Morgan,141,54.5,51.267
Newspoll,151,47.0,48.344
F2F Morgan,152,52.5,49.267
Morgan Phone,157,47.0,46.62
Nielsen,164,46.0,46.825
Newspoll,165,47.0,48.344
F2F Morgan,166,51.5,48.267
F2F Morgan,173,53.0,49.767
Newspoll,179,46.0,47.344
F2F Morgan,180,52.5,49.267
Morgan Phone,186,45.5,45.12
F2F Morgan,187,48.5,45.267
Nielsen,192,44.0,44.825
Newspoll,193,46.0,47.344
Essential,195,49.0,46.503
F2F Morgan,197,52.0,48.767
Newspoll,207,44.0,45.344
F2F Morgan,211,48.5,45.267
Essential,226,48.0,45.503
Newspoll,221,43.0,44.344
F2F Morgan,222,48.0,44.767
Nielsen,227,43.0,43.825
F2F Morgan,229,45.5,42.267
Newspoll,235,47.0,48.344
Essential,237,47.0,44.503
F2F Morgan,239,45.5,42.267
Newspoll,249,47.0,48.344
F2F Morgan,253,47.0,43.767
Essential,253,45.0,42.503
Nielsen,255,43.0,43.825
Newspoll,263,45.0,46.344
Essential,264,48.0,45.503
F2F Morgan,267,50.0,46.767
Newspoll,277,44.0,45.344
Essential,278,45.0,42.503
F2F Morgan,281,45.0,41.767
Nielsen,290,41.0,41.825
Newspoll,291,42.0,43.344
Essential,292,47.0,44.503
F2F Morgan,295,46.5,43.267
Morgan Phone,296,46.5,46.12
F2F Morgan,309,46.0,42.767
Newspoll,312,41.0,42.344
Essential,313,47.0,44.503
Morgan Phone,317,48.0,47.62
Nielsen,318,46.0,46.825
F2F Morgan,323,46.5,43.267
Newspoll,326,44.0,45.344
Essential,327,51.0,48.503
F2F Morgan,337,49.0,45.767
Newspoll,340,44.0,45.344
Essential,341,44.0,41.503
Nielsen,346,45.0,45.825
Galaxy,347,43.0,43.877
F2F Morgan,351,50.5,47.267
Newspoll,354,42.0,43.344
Essential,355,48.0,45.503
F2F Morgan,365,48.5,45.267
Newspoll,368,48.0,49.344
Essential,369,48.0,45.503
F2F Morgan,379,52.5,49.267
F2F Morgan,400,51.5,48.267
Essential,404,50.0,47.503
Newspoll,410,43.0,44.344
F2F Morgan,414,50.5,47.267
Essential,418,50.0,47.503
F2F Morgan,425,46.5,43.267
Newspoll,431,48.0,49.344
F2F Morgan,432,51.5,48.267
Essential,432,51.0,48.503
F2F Morgan,439,49.0,45.767
Newspoll,445,47.0,48.344
Essential,446,52.0,49.503
F2F Morgan,449,51.5,48.267
Newspoll,459,44.0,45.344
F2F Morgan,460,50.5,47.267
Essential,460,49.0,46.503
F2F Morgan,467,48.5,45.267
Newspoll,473,45.0,46.344
Essential,474,53.0,50.503
F2F Morgan,477,53.0,49.767
Nielsen,479,47.0,47.825
Newspoll,487,47.0,48.344
Essential,489,51.0,48.503
F2F Morgan,491,51.5,48.267
Newspoll,501,47.0,48.344
Essential,502,48.0,45.503
F2F Morgan,505,50.0,46.767
Newspoll,515,42.0,43.344
Essential,516,50.0,47.503
F2F Morgan,519,50.0,46.767
Nielsen,528,44.0,44.825
Newspoll,529,46.0,47.344
F2F Morgan,530,49.5,46.267
Essential,530,49.0,46.503
Morgan Phone,534,45.0,44.62
F2F Morgan,540,49.0,45.767
Newspoll,543,43.0,44.344
Galaxy,543,43.0,43.877
Essential,545,47.0,44.503
Morgan Phone,548,43.5,43.12
F2F Morgan,554,48.5,45.267
Morgan Phone,555,47.5,47.12
Newspoll,557,41.0,42.344
Essential,558,47.0,44.503
F2F Morgan,565,46.0,42.767
Nielsen,570,46.0,46.825
Newspoll,571,44.0,45.344
Galaxy,571,44.0,44.877
Essential,572,49.0,46.503
F2F Morgan,575,46.5,43.267
Morgan Phone,575,46.0,45.62
Newspoll,585,43.0,44.344
Essential,586,46.0,43.503
F2F Morgan,589,48.0,44.767
Newspoll,597,46.0,47.344
Essential,600,50.0,47.503
F2F Morgan,603,50.5,47.267
Morgan Phone,611,45.5,45.12
Newspoll,613,45.0,46.344
F2F Morgan,617,47.5,44.267
Nielsen,619,46.0,46.825
Essential,621,48.0,45.503
Newspoll,628,44.0,45.344
F2F Morgan,631,50.5,47.267
Essential,636,51.0,48.503
Newspoll,641,44.0,45.344
F2F Morgan,645,51.5,48.267
Nielsen,647,44.0,44.825
Essential,649,48.0,45.503
Newspoll,655,43.0,44.344
F2F Morgan,659,51.0,47.767
F2F Morgan,663,45.5,42.267
Newspoll,669,46.0,47.344
Essential,670,47.0,44.503
F2F Morgan,673,49.5,46.267
Nielsen,675,46.0,46.825
Newspoll,676,47.0,48.344
Morgan Phone,680,46.5,46.12
