Firm,Day,NAT FP,NAT FP adj
Newspoll,1,8.0,7.72
Newspoll,182,6.0,5.72
Newspoll,274,6.0,5.72
SMS Morgan,317,3.0,2.807
SMS Morgan,345,6.5,6.307
Newspoll,366,8.0,7.72
SMS Morgan,373,7.0,6.807
SMS Morgan,428,6.5,6.307
Newspoll,457,6.0,5.72
SMS Morgan,457,7.0,6.807
SMS Morgan,484,6.5,6.307
SMS Morgan,513,6.0,5.807
Newspoll,547,7.0,6.72
SMS Morgan,554,7.5,7.307
SMS Morgan,582,7.0,6.807
SMS Morgan,624,7.0,6.807
SMS Morgan,653,7.0,6.807
SMS Morgan,696,4.5,4.307
Essential,730,6.0,6.278
Newspoll2,731,5.0,5.133
SMS Morgan,749,5.0,4.807
SMS Morgan,807,7.5,7.307
Essential,823,4.0,4.278
ReachTEL,853,5.3,5.337
SMS Morgan,862,8.0,7.807
SMS Morgan,879,6.0,5.807
Newspoll2,883,6.0,6.133
Essential,913,6.0,6.278
SMS Morgan,922,7.0,6.807
Essential,1004,4.0,4.241
SMS Morgan,1005,6.5,6.38
ReachTEL,1035,5.4,5.238
SMS Morgan,1066,5.0,5.001
ReachTEL,1077,6.1,5.811
Newspoll2,1082,6.0,6.247
Essential,1096,6.0,6.15
ReachTEL,1154,6.0,5.674
Newspoll2,1173,5.0,5.255
Essential,1174,6.8,6.95
Essential,1188,5.0,5.15
ReachTEL,1188,8.4,8.074
ReachTEL,1202,6.8,6.474
Galaxy,1203,5.0,5.154
Newspoll2,1209,5.0,5.255
ReachTEL,1210,6.0,5.674
