Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,40.0,41.173
Newspoll,8,42.0,42.136
F2F Morgan,15,41.5,42.673
F2F Morgan,29,45.0,46.173
Newspoll,39,45.0,45.136
F2F Morgan,43,44.0,45.173
F2F Morgan,57,45.0,46.173
Newspoll,67,46.0,46.136
F2F Morgan,71,43.5,44.673
F2F Morgan,85,45.0,46.173
F2F Morgan,99,44.5,45.673
Newspoll,102,45.0,45.136
F2F Morgan,113,47.5,48.673
F2F Morgan,127,47.5,48.673
Newspoll,137,47.0,47.136
F2F Morgan,141,46.0,47.173
F2F Morgan,155,48.0,49.173
Newspoll,165,46.0,46.136
F2F Morgan,169,47.0,48.173
F2F Morgan,183,48.0,49.173
Newspoll,197,49.0,49.136
F2F Morgan,197,49.0,50.173
F2F Morgan,211,48.0,49.173
F2F Morgan,225,50.0,51.173
Newspoll,228,50.0,50.136
F2F Morgan,239,49.0,50.173
Newspoll,246,50.0,50.136
F2F Morgan,253,48.5,49.673
F2F Morgan,281,49.0,50.173
F2F Morgan,295,48.0,49.173
F2F Morgan,309,47.0,48.173
Newspoll,316,49.0,49.136
F2F Morgan,323,47.0,48.173
F2F Morgan,337,48.0,49.173
Newspoll,340,50.0,50.136
F2F Morgan,351,49.0,50.173
F2F Morgan,365,48.0,49.173
Newspoll,375,48.0,48.136
F2F Morgan,379,48.0,49.173
F2F Morgan,393,49.0,50.173
Newspoll,403,49.0,49.136
F2F Morgan,407,50.0,51.173
F2F Morgan,418,48.0,49.173
F2F Morgan,425,45.0,46.173
F2F Morgan,435,45.0,46.173
Newspoll,445,48.0,48.136
F2F Morgan,449,46.0,47.173
F2F Morgan,463,48.0,49.173
Newspoll,473,47.0,47.136
F2F Morgan,477,46.0,47.173
F2F Morgan,491,50.0,51.173
Newspoll,501,47.0,47.136
F2F Morgan,505,47.0,48.173
F2F Morgan,519,46.0,47.173
Newspoll,533,47.0,47.136
F2F Morgan,533,45.0,46.173
F2F Morgan,547,44.0,45.173
Newspoll,561,47.0,47.136
F2F Morgan,561,44.0,45.173
F2F Morgan,575,45.0,46.173
Newspoll,589,45.0,45.136
F2F Morgan,589,44.5,45.673
Newspoll,599,53.0,53.136
F2F Morgan,599,47.0,48.173
F2F Morgan,606,51.0,52.173
Newspoll,610,51.0,51.136
F2F Morgan,613,52.5,53.673
F2F Morgan,641,49.0,50.173
AGB McNair,643,50.0,52.984
AGB McNair,652,48.0,50.984
F2F Morgan,652,49.0,50.173
Newspoll,655,48.0,48.136
AGB McNair,666,47.0,49.984
F2F Morgan,666,48.0,49.173
Newspoll,669,52.0,52.136
AGB McNair,680,49.0,51.984
F2F Morgan,680,49.0,50.173
Newspoll,683,52.0,52.136
F2F Morgan,690,49.5,50.673
AGB McNair,694,47.0,49.984
F2F Morgan,697,48.0,49.173
Newspoll,698,48.0,48.136
AGB McNair,708,43.0,45.984
F2F Morgan,708,45.5,46.673
Newspoll,711,48.0,48.136
AGB McNair,722,44.0,46.984
F2F Morgan,722,44.5,45.673
Newspoll,725,44.0,44.136
AGB McNair,736,44.0,46.984
F2F Morgan,736,45.5,46.673
Newspoll,739,45.0,45.136
AGB McNair,750,42.0,44.984
F2F Morgan,750,43.0,44.173
Newspoll,760,46.0,46.136
AGB McNair,764,40.0,42.984
F2F Morgan,764,43.0,44.173
Newspoll,774,48.0,48.136
AGB McNair,778,41.0,43.984
F2F Morgan,778,44.0,45.173
Newspoll,788,48.0,48.136
AGB McNair,792,41.0,43.984
F2F Morgan,792,44.0,45.173
Newspoll,802,47.0,47.136
AGB McNair,806,42.0,44.984
F2F Morgan,806,45.0,46.173
Newspoll,816,44.0,44.136
AGB McNair,820,43.0,45.984
F2F Morgan,820,44.0,45.173
Newspoll,830,45.0,45.136
AGB McNair,834,43.0,45.984
F2F Morgan,834,44.0,45.173
Newspoll,844,45.0,45.154
AGB McNair,848,40.0,42.874
F2F Morgan,848,45.0,46.235
Newspoll,858,48.0,48.18
AGB McNair,862,44.0,46.763
F2F Morgan,862,47.0,48.296
Newspoll,872,45.0,45.206
AGB McNair,876,43.0,45.652
F2F Morgan,876,42.0,43.357
Newspoll,886,43.0,43.232
AGB McNair,890,42.0,44.542
F2F Morgan,890,44.0,45.418
Newspoll,900,47.0,47.258
AGB McNair,904,41.0,43.431
F2F Morgan,904,44.0,45.479
AGB McNair,918,40.0,42.32
F2F Morgan,918,44.0,45.54
Newspoll,921,48.0,48.299
AGB McNair,932,41.0,43.209
F2F Morgan,932,44.0,45.602
Newspoll,935,49.0,49.325
AGB McNair,946,41.0,43.099
F2F Morgan,946,40.5,42.163
Newspoll,949,41.0,41.35
AGB McNair,960,40.0,42.035
F2F Morgan,960,40.5,42.198
Newspoll,963,43.0,43.358
AGB McNair,974,40.0,42.035
F2F Morgan,974,42.0,43.698
Newspoll,977,40.0,40.358
Newspoll,984,39.0,39.358
F2F Morgan,985,41.0,42.698
AGB McNair,991,42.0,44.035
Newspoll,992,42.0,42.358
F2F Morgan,995,45.5,47.198
AGB McNair,1002,42.0,44.035
F2F Morgan,1012,42.5,44.198
