Firm,Day,LNP FP,LNP FP adj
F2F Morgan,320,46.5,46.941
Newspoll,1,41.0,40.053
Newspoll,62,43.0,42.053
Newspoll,123,44.0,43.053
Newspoll,185,45.0,44.053
Newspoll,245,51.0,50.053
Newspoll,306,48.0,47.053
Newspoll,367,47.0,46.053
Newspoll,428,47.0,46.053
Newspoll,489,43.0,42.053
Newspoll,551,44.0,43.053
Newspoll,610,45.0,44.053
Newspoll,671,41.0,40.053
Newspoll,732,41.0,40.053
Newspoll,793,41.0,40.053
Newspoll,854,40.0,39.053
Newspoll,916,41.0,40.053
Morgan Phone,941,43.5,43.335
Newspoll,975,44.0,43.053
Morgan Phone,997,42.0,41.835
Newspoll,1036,44.0,43.053
Nielsen,1041,38.0,38.542
F2F Morgan,1080,38.0,38.441
Newspoll,1097,38.0,37.047
F2F Morgan,1111,36.0,36.438
Nielsen,1097,36.0,36.54
F2F Morgan,1143,37.5,37.933
Newspoll,1158,42.0,40.875
F2F Morgan,1171,39.5,39.928
F2F Morgan,1203,38.5,38.923
Newspoll,1206,42.0,40.738
F2F Morgan,1231,40.0,40.421
Newspoll,1232,44.0,42.709
F2F Morgan,1269,47.0,47.421
Newspoll,1281,46.0,44.709
F2F Morgan,1290,41.0,41.421
F2F Morgan,1304,39.0,39.421
Newspoll,1321,39.0,37.709
Nielsen,1324,37.0,37.42
Morgan Phone,1329,33.0,34.11
Nielsen,1331,35.0,35.42
Morgan Phone,1333,35.0,36.11
Newspoll,1333,38.0,36.709
Morgan Phone,1335,32.5,33.61
