Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,33.0,36.99
F2F Morgan,62,30.0,33.99
F2F Morgan,123,31.5,35.49
F2F Morgan,184,33.0,36.99
Newspoll,229,41.0,39.153
F2F Morgan,245,34.5,38.49
F2F Morgan,307,32.5,36.49
Newspoll,321,38.0,36.153
F2F Morgan,366,32.0,35.99
Newspoll,410,37.0,35.153
F2F Morgan,427,33.5,37.49
Newspoll,488,42.0,40.153
F2F Morgan,488,31.5,35.49
Newspoll,519,42.0,40.153
F2F Morgan,549,35.5,39.49
Newspoll,594,43.0,41.153
F2F Morgan,610,34.5,38.49
F2F Morgan,672,34.0,37.698
Newspoll,687,42.0,40.712
F2F Morgan,731,34.5,37.402
Newspoll,775,39.0,38.919
F2F Morgan,792,33.5,35.898
Newspoll,853,38.0,37.919
F2F Morgan,853,36.0,38.398
Galaxy,862,43.0,42.506
Galaxy,876,40.0,39.506
Newspoll,879,36.0,35.919
Newspoll,890,38.0,37.919
Galaxy,890,38.0,37.506
Morgan Phone,890,39.0,38.813
