Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,41.0,39.593
Newspoll,4,39.0,38.893
F2F Morgan,15,43.5,42.093
Newspoll,18,43.0,42.893
F2F Morgan,29,42.5,41.093
Newspoll,32,40.0,39.893
F2F Morgan,43,44.5,43.093
Newspoll,46,41.0,40.893
Quadrant,52,50.0,48.904
F2F Morgan,57,41.5,40.093
Newspoll,60,38.0,37.893
F2F Morgan,92,43.5,42.093
Newspoll,95,38.0,37.893
F2F Morgan,106,43.5,42.093
Newspoll,109,40.0,39.893
F2F Morgan,120,42.0,40.593
Newspoll,123,42.0,41.893
F2F Morgan,134,41.0,39.593
Nielsen,136,38.0,39.727
Newspoll,137,41.0,40.893
F2F Morgan,148,43.5,42.093
Newspoll,151,43.0,42.893
F2F Morgan,162,43.5,42.093
Newspoll,165,43.0,42.893
F2F Morgan,176,43.0,41.593
Newspoll,179,42.0,41.893
Nielsen,179,39.0,40.727
F2F Morgan,190,45.0,43.593
Newspoll,200,43.0,42.893
F2F Morgan,204,45.5,44.093
Newspoll,214,44.0,43.893
Nielsen,214,41.0,42.727
F2F Morgan,218,43.5,42.093
Newspoll,228,44.0,43.893
F2F Morgan,232,42.0,40.593
Nielsen,234,41.0,42.727
F2F Morgan,246,44.5,43.093
Newspoll,249,43.0,42.893
F2F Morgan,260,43.0,41.593
Newspoll,263,39.0,38.893
F2F Morgan,274,41.0,39.593
Newspoll,277,44.0,43.893
Nielsen,277,38.0,39.727
F2F Morgan,288,43.0,41.593
Newspoll,291,42.0,41.893
F2F Morgan,302,40.5,39.093
F2F Morgan,302,42.0,40.593
Newspoll,305,42.0,41.893
Nielsen,305,41.0,42.727
F2F Morgan,316,44.5,43.093
Newspoll,319,37.0,36.893
F2F Morgan,330,41.0,39.593
Newspoll,333,40.0,39.893
F2F Morgan,344,41.0,39.593
Newspoll,347,41.0,40.893
F2F Morgan,358,41.5,40.093
Newspoll,361,41.0,40.893
Nielsen,361,40.0,41.727
F2F Morgan,372,42.0,40.593
Newspoll,375,44.0,43.893
F2F Morgan,386,42.0,40.593
Newspoll,389,42.0,41.893
F2F Morgan,400,42.5,41.093
Newspoll,403,42.0,41.893
F2F Morgan,414,44.0,42.593
Newspoll,417,43.0,42.893
Nielsen,417,40.0,41.727
F2F Morgan,428,44.5,43.093
Newspoll,431,44.0,43.893
F2F Morgan,456,46.0,44.593
Newspoll,466,45.0,44.893
F2F Morgan,470,47.0,45.593
Newspoll,480,45.0,44.893
F2F Morgan,484,46.0,44.593
Nielsen,487,44.0,45.727
Newspoll,494,44.0,43.893
F2F Morgan,495,46.5,45.093
F2F Morgan,502,45.0,43.593
Newspoll,508,42.0,41.893
F2F Morgan,512,46.0,44.593
Newspoll,522,43.0,42.893
F2F Morgan,526,43.0,41.593
Nielsen,529,42.0,43.727
Newspoll,536,45.0,44.893
F2F Morgan,540,46.0,44.593
Newspoll,550,43.0,42.893
F2F Morgan,554,45.0,43.593
Newspoll,564,44.0,43.893
F2F Morgan,507,46.0,44.593
Newspoll,578,43.0,42.893
F2F Morgan,582,45.5,44.093
Nielsen,585,43.0,44.727
Newspoll,592,43.0,42.893
F2F Morgan,596,46.5,45.093
F2F Morgan,610,48.5,47.093
Newspoll,613,47.0,46.893
F2F Morgan,624,45.0,43.593
Newspoll,627,46.0,45.893
F2F Morgan,635,45.0,43.593
F2F Morgan,641,43.0,41.593
Newspoll,641,44.0,43.893
Nielsen,641,41.0,42.727
F2F Morgan,642,43.0,41.593
F2F Morgan,652,45.0,43.593
Newspoll,655,44.0,43.893
F2F Morgan,655,45.0,43.593
F2F Morgan,666,41.5,40.093
Newspoll,669,42.0,41.893
Nielsen,669,42.0,43.727
F2F Morgan,680,43.0,41.593
Newspoll,683,44.0,43.893
F2F Morgan,694,46.5,45.093
Newspoll,697,46.0,45.893
Newspoll,711,44.0,43.893
Nielsen,711,43.0,44.727
F2F Morgan,750,45.5,44.093
F2F Morgan,722,46.5,45.093
Newspoll,725,44.0,43.893
F2F Morgan,764,44.5,43.093
F2F Morgan,737,44.5,43.093
Newspoll,739,42.0,41.893
F2F Morgan,708,44.0,42.593
Newspoll,753,45.0,44.893
Nielsen,753,41.0,42.727
Newspoll,767,40.0,39.893
F2F Morgan,778,44.0,42.593
Newspoll,781,40.0,39.893
F2F Morgan,792,45.0,43.593
Newspoll,795,44.0,43.893
F2F Morgan,820,47.5,46.093
Newspoll,830,42.0,41.893
F2F Morgan,834,42.5,41.093
F2F Morgan,848,43.5,42.093
Newspoll,851,47.0,46.893
Nielsen,851,43.0,44.727
F2F Morgan,862,48.5,47.093
Newspoll,865,43.0,42.893
F2F Morgan,876,46.5,45.093
Newspoll,879,48.0,47.893
Nielsen,879,34.0,35.727
F2F Morgan,890,47.5,46.074
Newspoll,893,46.0,45.927
F2F Morgan,904,44.5,43.041
Newspoll,907,42.0,41.967
Nielsen,907,46.0,47.531
F2F Morgan,918,44.5,43.007
Newspoll,921,42.0,42.007
F2F Morgan,932,43.5,41.974
Newspoll,935,45.0,45.047
Nielsen,935,41.0,42.321
F2F Morgan,946,46.5,44.941
Newspoll,949,41.0,41.087
Newspoll,956,40.0,40.104
Nielsen,956,43.0,44.17
F2F Morgan,957,44.0,42.413
Newspoll,963,44.0,44.127
F2F Morgan,964,45.5,43.899
F2F Morgan,974,44.5,42.875
Newspoll,977,40.0,40.166
F2F Morgan,988,44.5,42.842
Newspoll,991,45.0,45.206
F2F Morgan,1002,43.0,41.309
Newspoll,1005,41.0,41.235
F2F Morgan,1016,42.0,40.309
Newspoll,1019,39.0,39.235
F2F Morgan,1030,41.0,39.309
Newspoll,1033,42.0,42.235
Nielsen,1033,40.0,40.824
F2F Morgan,1044,43.5,41.809
Newspoll,1047,40.0,40.235
Nielsen,1054,40.0,40.824
Newspoll,1054,39.0,39.235
F2F Morgan,1055,39.0,37.309
Newspoll,1061,40.0,40.235
F2F Morgan,1062,40.5,38.809
F2F Morgan,1069,41.0,39.309
Newspoll,1075,35.0,35.235
Nielsen,1075,33.0,33.824
F2F Morgan,1076,41.5,39.809
F2F Morgan,1086,39.5,37.809
Newspoll,1089,35.0,35.235
Nielsen,1093,34.0,34.824
Newspoll,1096,38.0,38.235
F2F Morgan,1097,35.0,33.309
Nielsen,1103,39.0,39.824
Newspoll,1103,39.0,39.235
F2F Morgan,1104,41.0,39.309
Nielsen,1110,38.0,38.824
Newspoll,1110,37.0,37.235
F2F Morgan,1111,42.0,40.309
Newspoll,1117,39.5,39.735
F2F Morgan,1118,43.5,41.809
Newspoll,1122,38.5,38.735
Nielsen,1122,38.0,38.824
