Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,17.0,15.833
Newspoll,8,17.0,17.533
F2F Morgan,15,15.0,13.833
F2F Morgan,29,15.0,13.833
Newspoll,39,16.0,16.533
F2F Morgan,43,14.0,12.833
F2F Morgan,57,14.0,12.833
Newspoll,67,17.0,17.533
F2F Morgan,71,14.5,13.333
F2F Morgan,85,16.0,14.833
F2F Morgan,99,14.5,13.333
Newspoll,102,17.0,17.533
F2F Morgan,113,14.0,12.833
F2F Morgan,127,14.0,12.833
Newspoll,137,15.0,15.533
F2F Morgan,141,15.0,13.833
F2F Morgan,155,13.0,11.833
Newspoll,165,17.0,17.533
F2F Morgan,169,16.0,14.833
F2F Morgan,183,18.0,16.833
Newspoll,197,17.0,17.533
F2F Morgan,197,18.0,16.833
F2F Morgan,211,19.0,17.833
F2F Morgan,225,18.0,16.833
Newspoll,228,16.0,16.533
F2F Morgan,239,19.0,17.833
Newspoll,246,17.0,17.533
F2F Morgan,253,18.5,17.333
F2F Morgan,281,19.0,17.833
F2F Morgan,295,16.0,14.833
F2F Morgan,309,15.5,14.333
Newspoll,316,16.0,16.533
F2F Morgan,323,18.0,16.833
F2F Morgan,337,18.0,16.833
Newspoll,340,15.0,15.533
F2F Morgan,351,18.0,16.833
F2F Morgan,365,18.0,16.833
Newspoll,375,17.0,17.533
F2F Morgan,379,20.0,18.833
F2F Morgan,393,19.0,17.833
Newspoll,403,16.0,16.533
F2F Morgan,407,18.0,16.833
F2F Morgan,418,17.0,15.833
F2F Morgan,425,17.0,15.833
F2F Morgan,435,17.0,15.833
Newspoll,445,14.0,14.533
F2F Morgan,449,17.0,15.833
F2F Morgan,463,18.0,16.833
Newspoll,473,15.0,15.533
F2F Morgan,477,18.0,16.833
F2F Morgan,491,16.5,15.333
Newspoll,501,14.0,14.533
F2F Morgan,505,16.0,14.833
F2F Morgan,519,15.5,14.333
Newspoll,533,13.0,13.533
F2F Morgan,533,18.0,16.833
F2F Morgan,547,19.0,17.833
Newspoll,561,16.0,16.533
F2F Morgan,561,20.0,18.833
F2F Morgan,575,19.0,17.833
Newspoll,589,18.0,18.533
F2F Morgan,589,19.5,18.333
Newspoll,599,12.0,12.533
F2F Morgan,599,16.0,14.833
F2F Morgan,606,16.0,14.833
Newspoll,610,13.0,13.533
F2F Morgan,613,16.0,14.833
F2F Morgan,641,16.0,14.833
AGB McNair,643,14.0,13.693
AGB McNair,652,12.0,11.693
F2F Morgan,652,15.0,13.833
Newspoll,655,14.0,14.533
AGB McNair,666,12.0,11.693
F2F Morgan,666,16.0,14.833
Newspoll,669,14.0,14.533
AGB McNair,680,13.0,12.693
F2F Morgan,680,15.0,13.833
Newspoll,683,13.0,13.533
F2F Morgan,690,14.5,13.333
AGB McNair,694,11.0,10.693
F2F Morgan,697,14.5,13.333
Newspoll,698,11.0,11.533
AGB McNair,708,13.0,12.693
F2F Morgan,708,15.0,13.833
Newspoll,711,13.0,13.533
AGB McNair,722,13.0,12.693
F2F Morgan,722,15.5,14.333
Newspoll,725,13.0,13.533
AGB McNair,736,15.0,14.693
F2F Morgan,736,16.0,14.833
Newspoll,739,15.0,15.533
AGB McNair,750,19.0,18.693
F2F Morgan,750,19.0,17.833
Newspoll,760,17.0,17.533
AGB McNair,764,20.0,19.693
F2F Morgan,764,20.0,18.833
Newspoll,774,16.0,16.533
AGB McNair,778,19.0,18.693
F2F Morgan,778,19.5,18.333
Newspoll,788,17.0,17.533
AGB McNair,792,18.0,17.693
F2F Morgan,792,19.5,18.333
Newspoll,802,16.0,16.533
AGB McNair,806,20.0,19.693
F2F Morgan,806,20.0,18.833
Newspoll,816,18.0,18.533
AGB McNair,820,19.0,18.693
F2F Morgan,820,20.0,18.833
Newspoll,830,17.0,17.533
AGB McNair,834,18.0,17.693
F2F Morgan,834,21.0,19.833
Newspoll,844,16.0,16.52
AGB McNair,848,21.0,20.657
F2F Morgan,848,19.0,17.895
Newspoll,858,16.0,16.502
AGB McNair,862,18.0,17.62
F2F Morgan,862,19.0,17.957
Newspoll,872,18.0,18.484
AGB McNair,876,20.0,19.584
F2F Morgan,876,18.5,17.518
Newspoll,886,17.0,17.466
AGB McNair,890,17.0,16.548
F2F Morgan,890,18.0,17.08
Newspoll,900,15.0,15.448
AGB McNair,904,18.0,17.511
F2F Morgan,904,17.0,16.142
AGB McNair,918,17.0,16.475
F2F Morgan,918,15.0,14.204
Newspoll,921,13.0,13.42
AGB McNair,932,16.0,15.439
F2F Morgan,932,15.5,14.765
Newspoll,935,14.0,14.402
AGB McNair,946,16.0,15.403
F2F Morgan,946,15.0,14.327
Newspoll,949,14.0,14.384
AGB McNair,960,14.0,13.382
F2F Morgan,960,14.0,13.362
Newspoll,963,13.0,13.379
AGB McNair,974,15.0,14.382
F2F Morgan,974,13.0,12.362
Newspoll,977,13.0,13.379
Newspoll,984,12.0,12.379
F2F Morgan,985,13.5,12.862
AGB McNair,991,13.0,12.382
Newspoll,992,11.0,11.379
F2F Morgan,995,10.0,9.362
AGB McNair,1002,15.0,14.382
F2F Morgan,1012,14.0,13.362
AGB McNair,1019,14.0,13.382
Newspoll,1026,11.0,11.379
F2F Morgan,1030,14.5,13.862
AGB McNair,1037,13.0,12.382
Newspoll,1040,15.0,15.379
F2F Morgan,1041,13.5,12.862
Saulwick,1044,14.0,13.832
AGB McNair,1047,15.0,14.382
F2F Morgan,1048,14.0,13.362
Newspoll,1047,12.5,12.879
AGB McNair,1054,16.0,15.382
Newspoll,1054,9.0,9.379
F2F Morgan,1055,15.0,14.362
AGB McNair,1061,8.0,7.382
Newspoll,1061,11.5,11.879
Saulwick,1061,9.0,8.832
F2F Morgan,1062,13.0,12.362
AGB McNair,1068,9.0,8.382
Newspoll,1068,11.0,11.379
Morgan Phone,1068,12.0,11.538
Newspoll,1072,12.5,12.879
Newspoll,1073,11.0,11.379
AGB McNair,1073,9.0,8.382
Morgan Phone,1073,10.5,10.038
Saulwick,1074,10.0,9.832
