Firm,Day,LNP FP,LNP FP adj
AGB McNair,1,38.0,39.782
Newspoll,3,41.0,40.323
F2F Morgan,7,39.5,40.593
Newspoll,17,42.0,41.323
AGB McNair,19,40.0,41.782
F2F Morgan,21,41.0,42.093
AGB McNair,29,39.0,40.782
Newspoll,31,40.0,39.323
F2F Morgan,35,41.0,42.093
AGB McNair,42,39.0,40.782
Newspoll,45,41.0,40.323
F2F Morgan,49,44.0,45.093
AGB McNair,56,41.0,42.782
Newspoll,59,46.0,45.323
F2F Morgan,63,43.0,44.093
AGB McNair,70,41.0,42.782
Newspoll,73,44.0,43.323
F2F Morgan,77,42.5,43.593
AGB McNair,84,40.0,41.782
Newspoll,87,45.0,44.323
F2F Morgan,91,41.0,42.093
AGB McNair,98,40.0,41.782
Newspoll,101,45.0,44.323
F2F Morgan,105,42.5,43.593
AGB McNair,112,41.0,42.782
Newspoll,115,50.0,49.323
F2F Morgan,119,44.5,45.593
AGB McNair,126,41.0,42.782
Newspoll,129,45.0,44.323
F2F Morgan,133,44.5,45.593
AGB McNair,139,44.0,45.782
Newspoll,143,46.0,45.323
F2F Morgan,147,46.0,47.093
AGB McNair,153,46.0,47.782
Newspoll,157,54.0,53.323
F2F Morgan,157,49.0,50.093
AGB McNair,168,46.0,47.782
F2F Morgan,168,47.0,48.093
Newspoll,171,50.0,49.323
AGB McNair,182,44.0,45.782
F2F Morgan,182,49.0,50.093
Newspoll,185,49.0,48.323
Newspoll,192,52.0,51.323
AGB McNair,196,44.0,45.782
F2F Morgan,196,48.0,49.093
Newspoll,206,48.0,47.323
AGB McNair,210,47.0,48.782
F2F Morgan,210,49.0,50.093
Newspoll,220,50.0,49.323
AGB McNair,224,45.0,46.782
F2F Morgan,224,47.0,48.093
Newspoll,234,51.0,50.323
AGB McNair,238,44.0,45.782
F2F Morgan,238,48.5,49.593
Newspoll,248,48.0,47.323
AGB McNair,252,44.0,45.782
F2F Morgan,252,46.0,47.093
Newspoll,262,47.0,46.323
F2F Morgan,266,45.0,46.093
AGB McNair,269,45.0,46.782
Newspoll,276,47.0,46.323
AGB McNair,294,47.0,48.782
F2F Morgan,301,46.0,47.093
Newspoll,304,50.0,49.323
AGB McNair,304,44.0,45.782
F2F Morgan,315,46.0,47.093
Newspoll,318,47.0,46.323
AGB McNair,322,45.0,46.782
F2F Morgan,329,45.5,46.593
Newspoll,332,48.0,47.323
AGB McNair,336,44.0,45.782
F2F Morgan,343,46.0,47.093
Newspoll,346,46.0,45.323
AGB McNair,350,42.0,43.782
F2F Morgan,357,46.5,47.593
Newspoll,360,42.0,41.323
AGB McNair,364,42.0,43.782
F2F Morgan,371,43.5,44.593
Newspoll,374,47.0,46.323
AGB McNair,378,42.0,43.782
F2F Morgan,385,44.5,45.593
AGB McNair,392,40.0,41.782
Newspoll,395,47.0,46.323
F2F Morgan,399,43.0,44.093
AGB McNair,406,41.0,42.782
Newspoll,409,44.0,43.323
F2F Morgan,413,41.5,42.593
AGB McNair,420,41.0,42.782
Newspoll,423,44.0,43.323
F2F Morgan,427,42.0,43.093
AGB McNair,434,43.0,44.782
Newspoll,437,51.0,50.323
F2F Morgan,438,45.0,46.093
AGB McNair,448,46.0,47.782
F2F Morgan,448,47.0,48.093
Newspoll,451,49.0,48.323
AGB McNair,462,48.0,49.782
F2F Morgan,462,46.5,47.593
Newspoll,465,51.0,50.323
AGB McNair,476,48.0,49.782
F2F Morgan,476,46.5,47.593
Newspoll,479,49.0,48.323
AGB McNair,490,45.0,46.782
F2F Morgan,490,47.5,48.593
Newspoll,493,50.0,49.323
F2F Morgan,501,47.5,48.593
Newspoll,507,45.0,44.323
F2F Morgan,508,44.0,45.093
AGB McNair,504,44.0,45.782
F2F Morgan,515,46.5,47.593
AGB McNair,518,44.0,45.782
Newspoll,521,48.0,47.323
F2F Morgan,525,44.0,45.093
AGB McNair,532,41.0,42.782
Newspoll,535,42.0,41.323
F2F Morgan,539,44.5,45.593
AGB McNair,546,41.0,42.782
Newspoll,549,38.0,37.323
F2F Morgan,553,40.5,41.593
Newspoll,556,46.0,45.323
AGB McNair,567,39.0,40.782
F2F Morgan,567,40.5,41.593
Newspoll,570,44.0,43.323
AGB McNair,577,41.0,42.782
F2F Morgan,581,41.0,42.093
Newspoll,584,41.0,40.323
AGB McNair,588,40.0,41.782
F2F Morgan,595,42.0,43.093
Newspoll,598,44.0,43.323
AGB McNair,602,39.0,40.782
F2F Morgan,609,41.0,42.093
Newspoll,612,45.0,44.323
AGB McNair,616,40.0,41.782
F2F Morgan,623,41.0,42.093
Newspoll,626,43.0,42.323
AGB McNair,630,40.0,41.782
F2F Morgan,637,41.5,42.593
Newspoll,640,45.0,44.323
F2F Morgan,665,41.5,42.593
Newspoll,668,45.0,44.323
F2F Morgan,675,39.5,40.593
AGB McNair,682,44.0,45.782
Newspoll,682,40.0,39.323
F2F Morgan,682,41.0,42.093
F2F Morgan,693,47.5,48.593
Newspoll,696,47.0,46.323
AGB McNair,696,47.0,48.782
F2F Morgan,704,48.0,49.093
Newspoll,710,46.0,45.323
AGB McNair,710,50.0,51.782
F2F Morgan,714,47.5,48.593
Newspoll,724,52.0,51.323
AGB McNair,724,50.0,51.782
F2F Morgan,728,46.0,47.093
Newspoll,738,53.0,52.323
AGB McNair,738,49.0,50.782
F2F Morgan,742,45.5,46.593
Newspoll,752,50.0,49.323
AGB McNair,752,49.0,50.782
F2F Morgan,756,46.5,47.593
Newspoll,766,44.0,43.323
AGB McNair,766,49.0,50.782
F2F Morgan,770,47.5,48.593
Newspoll,780,47.0,46.323
F2F Morgan,780,46.5,47.593
AGB McNair,780,46.0,47.782
F2F Morgan,787,44.5,45.593
Newspoll,794,48.0,47.323
AGB McNair,794,47.0,48.782
F2F Morgan,798,44.0,45.093
Newspoll,808,47.0,46.323
AGB McNair,808,50.0,51.782
F2F Morgan,812,46.0,47.093
Newspoll,822,48.0,47.323
AGB McNair,822,48.0,49.782
F2F Morgan,826,46.0,47.093
Newspoll,836,47.0,46.323
AGB McNair,836,44.0,45.782
F2F Morgan,840,44.0,45.093
Newspoll,850,47.0,46.345
AGB McNair,850,47.0,48.605
F2F Morgan,854,45.0,46.117
Newspoll,864,49.0,48.376
AGB McNair,864,51.0,52.357
F2F Morgan,868,45.0,46.141
Newspoll,878,43.0,42.407
AGB McNair,878,47.0,48.109
F2F Morgan,882,45.5,46.664
Newspoll,892,49.0,48.439
AGB McNair,892,46.0,46.86
F2F Morgan,896,47.0,48.188
Newspoll,906,46.0,45.47
AGB McNair,906,48.0,48.612
F2F Morgan,910,44.0,45.212
Newspoll,920,47.0,46.501
AGB McNair,920,46.0,46.364
F2F Morgan,924,44.5,45.736
Newspoll,934,46.0,45.532
AGB McNair,934,51.0,51.116
F2F Morgan,938,46.5,47.76
Newspoll,948,47.0,46.563
AGB McNair,948,47.0,46.868
F2F Morgan,952,44.0,45.284
AGB McNair,962,48.0,47.655
F2F Morgan,966,46.0,47.297
Newspoll,969,48.0,47.59
AGB McNair,976,46.0,45.655
F2F Morgan,977,47.5,48.797
Newspoll,983,47.0,46.59
F2F Morgan,987,46.0,47.297
Quadrant,1016,45.0,45.915
Newspoll,997,46.0,45.59
F2F Morgan,1001,46.0,47.297
Newspoll,1004,47.0,46.59
F2F Morgan,1022,43.5,44.797
F2F Morgan,1036,46.5,47.797
Newspoll,1039,50.0,49.59
AGB McNair,1045,50.0,49.655
Quadrant,1046,48.0,48.915
Newspoll,1046,50.0,49.59
F2F Morgan,1047,46.5,47.797
Newspoll,1053,48.0,47.59
Morgan Phone,1053,46.0,48.37
Newspoll,1060,50.0,49.59
Morgan Phone,1060,45.0,47.37
Newspoll,1067,47.0,46.59
Morgan Phone,1067,45.0,47.37
Morgan Phone,1075,42.0,44.37
Newspoll,1074,49.5,49.09
Morgan Phone,1076,42.0,44.37
Newspoll,1079,48.0,47.59
Morgan Phone,1079,43.0,45.37
