Firm,Day,OTH FP,OTH FP adj
Saulwick,1,14.0,10.417
Newspoll,4,12.0,11.762
F2F Morgan,18,12.0,11.224
Saulwick,35,18.0,14.417
F2F Morgan,45,13.0,12.224
Saulwick,92,17.0,13.417
Newspoll,96,10.0,9.762
Saulwick,154,11.0,7.417
Newspoll,155,7.0,6.762
Newspoll,216,9.0,8.762
Newspoll,277,8.0,7.762
Saulwick,273,14.0,10.417
Saulwick,335,18.0,14.417
Newspoll,338,12.0,11.762
Saulwick,364,13.0,9.417
Newspoll,399,10.0,9.762
Saulwick,401,17.0,13.417
Newspoll,461,10.0,9.762
Saulwick,463,14.0,10.417
Saulwick,490,13.0,9.417
Newspoll,520,10.0,9.762
Saulwick,524,12.0,8.417
Saulwick,546,11.0,7.417
Newspoll,581,8.0,7.762
Saulwick,590,12.0,8.417
Saulwick,609,12.0,8.417
Newspoll,642,9.0,8.762
Saulwick,636,11.0,7.417
Saulwick,671,17.0,13.417
Saulwick,686,16.0,12.417
Newspoll,703,7.0,6.762
Saulwick,707,11.0,7.417
AGB McNair,712,10.0,10.126
Newspoll,764,9.0,8.762
Newspoll,826,9.0,8.762
AGB McNair,829,8.0,8.126
AGB McNair,857,6.0,6.126
Newspoll,885,10.0,9.762
AGB McNair,886,10.0,10.126
AGB McNair,924,7.0,7.126
AGB McNair,941,6.0,6.126
Newspoll,946,11.0,10.762
AGB McNair,965,7.0,7.126
AGB McNair,997,9.0,9.126
Newspoll,1007,11.0,10.762
AGB McNair,1022,9.0,9.1
Quadrant,1047,10.0,9.916
AGB McNair,1053,10.0,10.04
Newspoll,1068,9.0,8.659
AGB McNair,1081,10.0,9.988
F2F Morgan,1106,14.0,13.481
AGB McNair,1109,9.0,8.936
Newspoll,1129,11.0,10.555
F2F Morgan,1134,7.5,7.038
AGB McNair,1143,9.0,8.903
Newspoll,1191,11.0,10.555
AGB McNair,1179,9.0,8.903
AGB McNair,1207,7.0,6.903
AGB McNair,1225,10.0,9.903
AGB McNair,1239,8.0,7.903
Quadrant,1246,5.0,5.241
AGB McNair,1246,9.0,8.903
Newspoll,1247,6.0,5.555
