Firm,Day,NAT FP,NAT FP adj
Essential,1,4.0,4.059
Essential,93,4.0,4.059
Essential,185,4.0,4.059
Galaxy,446,6.0,5.904
uComms,1375,5.1,4.748
Newspoll2,1375,2.0,2.157
Newspoll2,1394,3.0,3.157
