Firm,Day,ONP FP,ONP FP adj
F2F Morgan,1,18.5,18.745
F2F Morgan,60,12.5,12.745
F2F Morgan,115,10.0,10.245
F2F Morgan,185,8.0,8.245
Newspoll,197,5.0,6.536
F2F Morgan,242,7.0,7.245
Newspoll,286,5.0,6.536
F2F Morgan,301,7.5,7.745
F2F Morgan,364,7.0,7.245
Newspoll,378,3.0,4.536
F2F Morgan,425,6.5,6.745
Newspoll,470,3.0,4.536
F2F Morgan,486,6.0,6.245
F2F Morgan,548,4.0,4.245
Newspoll,562,2.0,3.536
F2F Morgan,608,4.0,4.245
Newspoll,652,2.0,3.536
F2F Morgan,669,5.5,5.745
F2F Morgan,730,6.0,6.553
Newspoll,744,3.0,4.302
F2F Morgan,791,4.5,5.507
Newspoll,836,3.0,4.034
F2F Morgan,852,4.0,5.124
F2F Morgan,906,3.0,4.124
Newspoll,913,4.0,5.034
Newspoll,928,12.0,13.034
