Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,34.0,35.716
Morgan Phone,2,36.5,36.392
F2F Morgan,36,33.0,34.716
Newspoll,46,35.0,35.059
F2F Morgan,50,36.0,37.716
Morgan Phone,51,32.0,31.892
Morgan Phone,58,34.5,34.392
F2F Morgan,64,33.0,34.716
Newspoll,74,36.0,36.059
F2F Morgan,78,31.5,33.216
Newspoll,88,31.0,31.059
F2F Morgan,92,30.5,32.216
Morgan Phone,99,31.5,31.392
Newspoll,102,35.0,35.059
F2F Morgan,106,31.0,32.716
Morgan Phone,117,32.0,31.892
Newspoll,123,35.0,35.059
Morgan Phone,128,32.0,31.892
F2F Morgan,131,33.5,35.216
Morgan Phone,135,33.0,32.892
Newspoll,137,34.0,34.059
F2F Morgan,141,33.5,35.216
Newspoll,151,37.0,37.059
F2F Morgan,152,32.5,34.216
Morgan Phone,157,37.0,36.892
Nielsen,164,38.0,37.178
Newspoll,165,37.0,37.059
F2F Morgan,166,35.0,36.716
F2F Morgan,173,34.0,35.716
Newspoll,179,37.0,37.059
F2F Morgan,180,31.5,33.216
Morgan Phone,186,38.5,38.392
F2F Morgan,187,33.0,34.716
Nielsen,192,34.0,33.178
Newspoll,193,33.0,33.059
Essential,195,34.0,36.229
F2F Morgan,197,34.0,35.716
Newspoll,207,39.0,39.059
F2F Morgan,211,35.0,36.716
Essential,226,34.0,36.229
Newspoll,221,38.0,38.059
F2F Morgan,222,34.5,36.216
Nielsen,227,40.0,39.178
F2F Morgan,229,39.5,41.216
Newspoll,235,37.0,37.059
Essential,237,36.0,38.229
F2F Morgan,239,39.5,41.216
Newspoll,249,38.0,38.059
F2F Morgan,253,37.5,39.216
Essential,253,35.0,37.229
Nielsen,255,39.0,38.178
Newspoll,263,38.0,38.059
Essential,264,34.0,36.229
F2F Morgan,267,37.0,38.716
Newspoll,277,37.0,37.059
Essential,278,33.0,35.229
F2F Morgan,281,38.0,39.716
Nielsen,290,42.0,41.178
Newspoll,291,38.0,38.059
Essential,292,35.0,37.229
F2F Morgan,295,36.5,38.216
Morgan Phone,296,34.5,34.392
F2F Morgan,309,36.0,37.716
Newspoll,312,38.0,38.059
Essential,313,34.0,36.229
Morgan Phone,317,38.0,37.892
Nielsen,318,39.0,38.178
F2F Morgan,323,37.5,39.216
Newspoll,326,39.0,39.059
Essential,327,33.0,35.229
F2F Morgan,337,36.0,37.716
Newspoll,340,38.0,38.059
Essential,341,39.0,41.229
Nielsen,346,39.0,38.178
Galaxy,347,40.0,40.473
F2F Morgan,351,35.5,37.216
Newspoll,354,38.0,38.059
Essential,355,35.0,37.229
F2F Morgan,365,34.5,36.216
Newspoll,368,35.0,35.059
Essential,369,36.0,38.229
F2F Morgan,379,35.5,37.216
F2F Morgan,400,35.0,36.716
Essential,404,35.0,37.229
Newspoll,410,39.0,39.059
F2F Morgan,414,36.0,37.716
Essential,418,34.0,36.229
F2F Morgan,425,38.0,39.716
Newspoll,431,36.0,36.059
F2F Morgan,432,35.5,37.216
Essential,432,34.0,36.229
F2F Morgan,439,36.5,38.216
Newspoll,445,36.0,36.059
Essential,446,32.0,34.229
F2F Morgan,449,33.0,34.716
Newspoll,459,36.0,36.059
F2F Morgan,460,34.5,36.216
Essential,460,35.0,37.229
F2F Morgan,467,39.0,40.716
Newspoll,473,37.0,37.059
Essential,474,31.0,33.229
F2F Morgan,477,33.5,35.216
Nielsen,479,37.0,36.178
Newspoll,487,36.0,36.059
Essential,489,34.0,36.229
F2F Morgan,491,33.5,35.216
Newspoll,501,37.0,37.059
Essential,502,36.0,38.229
F2F Morgan,505,36.5,38.216
Newspoll,515,38.0,38.059
Essential,516,33.0,35.229
F2F Morgan,519,34.0,35.716
Nielsen,528,43.0,42.178
Newspoll,529,37.0,37.059
F2F Morgan,530,37.5,39.216
Essential,530,35.0,37.229
Morgan Phone,534,40.5,40.392
F2F Morgan,540,36.0,37.716
Newspoll,543,38.0,38.059
Galaxy,543,40.0,40.473
Essential,545,39.0,41.229
Morgan Phone,548,39.5,39.392
F2F Morgan,554,38.0,39.716
Morgan Phone,555,37.0,36.892
Newspoll,557,40.0,40.059
Essential,558,37.0,39.229
F2F Morgan,565,41.0,42.716
Nielsen,570,37.0,36.178
Newspoll,571,37.0,37.059
Galaxy,571,30.0,30.473
Essential,572,35.0,37.229
F2F Morgan,575,35.0,36.716
Morgan Phone,575,39.0,38.892
Newspoll,585,39.0,39.059
Essential,586,39.0,41.229
F2F Morgan,589,37.5,39.216
Newspoll,597,38.0,38.059
Essential,600,35.0,37.229
F2F Morgan,603,34.0,35.716
Morgan Phone,611,37.5,37.392
Newspoll,613,37.0,37.059
F2F Morgan,617,34.5,36.216
Nielsen,619,38.0,37.178
Essential,621,36.0,38.229
Newspoll,628,38.0,38.059
F2F Morgan,631,33.5,35.216
Essential,636,34.0,36.229
Newspoll,641,39.0,39.059
F2F Morgan,645,32.5,34.216
Nielsen,647,40.0,39.178
Essential,649,37.0,39.229
Newspoll,655,38.0,38.059
F2F Morgan,659,35.5,37.216
F2F Morgan,663,37.0,38.716
Newspoll,669,35.0,35.059
Essential,670,37.0,39.229
F2F Morgan,673,34.0,35.716
Nielsen,675,37.0,36.178
Newspoll,676,36.0,36.059
Morgan Phone,680,37.0,36.892
Newspoll,683,34.0,34.059
Essential,684,36.0,38.229
F2F Morgan,687,34.5,36.216
Newspoll,697,41.0,41.059
F2F Morgan,698,32.5,34.216
Essential,698,35.0,37.229
Nielsen,703,38.0,37.178
F2F Morgan,705,38.5,40.216
Morgan Phone,709,41.5,41.392
Newspoll,711,37.0,37.059
F2F Morgan,712,36.5,38.216
F2F Morgan,719,35.5,37.216
Essential,712,39.0,41.229
Newspoll,725,35.0,35.059
Nielsen,725,37.0,36.178
Essential,727,34.0,36.229
Morgan Phone,730,43.0,42.892
