Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,18.5,19.341
Nielsen,21,19.0,18.809
F2F Morgan,32,16.0,16.841
F2F Morgan,63,16.5,17.341
Nielsen,82,15.0,14.809
F2F Morgan,93,14.5,15.341
Newspoll,110,12.0,13.361
F2F Morgan,124,15.5,16.341
Nielsen,151,16.0,15.809
F2F Morgan,155,17.0,17.841
Newspoll,171,11.0,12.361
F2F Morgan,185,16.5,17.341
F2F Morgan,216,15.5,16.341
Newspoll,232,11.0,12.361
Nielsen,237,16.0,15.809
F2F Morgan,246,15.0,15.841
F2F Morgan,277,13.0,13.841
Newspoll,294,12.0,13.361
F2F Morgan,308,14.0,14.841
Nielsen,327,16.0,15.809
F2F Morgan,337,14.5,15.341
Newspoll,354,12.0,13.361
F2F Morgan,368,17.0,17.841
F2F Morgan,398,17.0,17.841
Newspoll,415,11.0,12.361
F2F Morgan,429,16.0,16.841
F2F Morgan,459,15.5,16.341
Nielsen,473,16.0,15.809
Newspoll,476,11.0,12.361
F2F Morgan,490,14.5,15.341
F2F Morgan,521,14.0,14.841
Newspoll,537,13.0,14.361
Nielsen,550,13.0,12.809
F2F Morgan,551,15.0,15.841
F2F Morgan,582,14.5,15.341
Newspoll,598,11.0,12.361
F2F Morgan,612,10.5,11.341
F2F Morgan,643,11.5,12.341
Newspoll,660,12.0,13.361
F2F Morgan,674,15.5,16.341
Nielsen,699,17.0,16.809
F2F Morgan,702,15.5,16.341
Newspoll,719,14.0,15.361
F2F Morgan,733,15.5,16.341
F2F Morgan,763,14.5,15.341
Newspoll,780,15.0,16.361
F2F Morgan,794,13.5,14.341
F2F Morgan,824,15.0,15.841
Newspoll,841,16.0,17.361
F2F Morgan,855,15.5,16.341
Nielsen,862,16.0,15.809
F2F Morgan,886,14.0,14.841
Newspoll,902,12.0,13.361
F2F Morgan,916,12.0,12.841
F2F Morgan,947,13.5,14.341
Newspoll,963,13.0,14.361
F2F Morgan,977,9.5,10.341
F2F Morgan,1008,11.5,12.341
Newspoll,1025,14.0,15.361
F2F Morgan,1039,12.0,12.841
F2F Morgan,1067,11.0,11.841
Newspoll,1084,19.0,20.361
F2F Morgan,1098,9.0,9.841
F2F Morgan,1128,11.5,12.341
Newspoll,1145,15.0,16.361
F2F Morgan,1159,11.0,11.841
F2F Morgan,1189,11.0,11.841
Newspoll,1206,14.0,15.214
F2F Morgan,1220,9.5,10.516
F2F Morgan,1251,10.5,11.769
Newspoll,1267,13.5,13.575
F2F Morgan,1281,8.5,10.007
F2F Morgan,1312,10.5,12.244
Newspoll,1328,14.0,13.156
F2F Morgan,1342,11.0,12.792
F2F Morgan,1373,10.0,11.792
Newspoll,1390,16.0,15.156
F2F Morgan,1404,10.0,11.792
Nielsen,1415,11.0,11.005
Nielsen,1423,10.0,10.005
Newspoll,1426,13.0,12.156
Morgan Phone,1430,12.0,11.949
Nielsen,1430,12.0,12.005
Nielsen,1437,14.0,14.005
Newspoll,1437,12.5,11.656
