Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,10.5,10.869
Morgan Phone,2,7.0,7.16
F2F Morgan,36,8.0,8.369
Newspoll,46,12.0,10.629
F2F Morgan,50,8.5,8.869
Morgan Phone,51,10.0,10.16
Morgan Phone,58,8.0,8.16
F2F Morgan,64,7.5,7.869
Newspoll,74,10.0,8.629
F2F Morgan,78,6.5,6.869
Newspoll,88,10.0,8.629
F2F Morgan,92,9.0,9.369
Morgan Phone,99,5.5,5.66
Newspoll,102,11.0,9.629
F2F Morgan,106,7.0,7.369
Morgan Phone,117,7.5,7.66
Newspoll,123,10.0,8.629
Morgan Phone,128,8.5,8.66
F2F Morgan,131,6.5,6.869
Morgan Phone,135,6.0,6.16
Newspoll,137,9.0,7.629
F2F Morgan,141,5.5,5.869
Newspoll,151,9.0,7.629
F2F Morgan,152,8.0,8.369
Morgan Phone,157,9.0,9.16
Nielsen,164,8.0,7.234
Newspoll,165,9.0,7.629
F2F Morgan,166,5.5,5.869
F2F Morgan,173,5.5,5.869
Newspoll,179,10.0,8.629
F2F Morgan,180,9.0,9.369
Morgan Phone,186,8.5,8.66
F2F Morgan,187,8.5,8.869
Nielsen,192,10.0,9.234
Newspoll,193,12.0,10.629
Essential,195,8.0,8.505
F2F Morgan,197,8.0,8.369
Newspoll,207,10.0,8.629
F2F Morgan,211,8.0,8.369
Essential,226,8.0,8.505
Newspoll,221,11.0,9.629
F2F Morgan,222,11.5,11.869
Nielsen,227,10.0,9.234
F2F Morgan,229,7.5,7.869
Newspoll,235,10.0,8.629
Essential,237,9.0,9.505
F2F Morgan,239,8.0,8.369
Newspoll,249,9.0,7.629
F2F Morgan,253,8.5,8.869
Essential,253,10.0,10.505
Nielsen,255,9.0,8.234
Newspoll,263,8.0,6.629
Essential,264,7.0,7.505
F2F Morgan,267,6.5,6.869
Newspoll,277,11.0,9.629
Essential,278,10.0,10.505
F2F Morgan,281,8.0,8.369
Nielsen,290,9.0,8.234
Newspoll,291,10.0,8.629
Essential,292,9.0,9.505
F2F Morgan,295,10.0,10.369
Morgan Phone,296,8.0,8.16
F2F Morgan,309,9.5,9.869
Newspoll,312,13.0,11.629
Essential,313,10.0,10.505
Morgan Phone,317,8.0,8.16
Nielsen,318,9.0,8.234
F2F Morgan,323,8.5,8.869
Newspoll,326,9.0,7.629
Essential,327,8.0,8.505
F2F Morgan,337,8.5,8.869
Newspoll,340,9.0,7.629
Essential,341,9.0,9.505
Nielsen,346,10.0,9.234
Galaxy,347,11.0,9.662
F2F Morgan,351,7.5,7.869
Newspoll,354,11.0,9.629
Essential,355,8.0,8.505
F2F Morgan,365,10.5,10.869
Newspoll,368,10.0,8.629
Essential,369,8.0,8.505
F2F Morgan,379,6.0,6.369
F2F Morgan,400,8.0,8.369
Essential,404,8.0,8.505
Newspoll,410,10.0,8.629
F2F Morgan,414,7.5,7.869
Essential,418,8.0,8.505
F2F Morgan,425,8.0,8.369
Newspoll,431,8.0,6.629
F2F Morgan,432,8.0,8.369
Essential,432,8.0,8.505
F2F Morgan,439,7.5,7.869
Newspoll,445,9.0,7.629
Essential,446,9.0,9.505
F2F Morgan,449,8.5,8.869
Newspoll,459,10.0,8.629
F2F Morgan,460,8.0,8.369
Essential,460,6.0,6.505
F2F Morgan,467,6.0,6.369
Newspoll,473,8.0,6.629
Essential,474,9.0,9.505
F2F Morgan,477,8.0,8.369
Nielsen,479,10.0,9.234
Newspoll,487,9.0,7.629
Essential,489,8.0,8.505
F2F Morgan,491,8.0,8.369
Newspoll,501,9.0,7.629
Essential,502,8.0,8.505
F2F Morgan,505,8.5,8.869
Newspoll,515,11.0,9.629
Essential,516,8.0,8.505
F2F Morgan,519,9.0,9.369
Nielsen,528,8.0,7.234
Newspoll,529,9.0,7.629
F2F Morgan,530,8.0,8.369
Essential,530,8.0,8.505
Morgan Phone,534,7.5,7.66
F2F Morgan,540,8.0,8.369
Newspoll,543,10.0,8.629
Galaxy,543,11.0,9.662
Essential,545,7.0,7.505
Morgan Phone,548,9.0,9.16
F2F Morgan,554,7.0,7.369
Morgan Phone,555,8.5,8.66
Newspoll,557,11.0,9.629
Essential,558,8.0,8.505
F2F Morgan,565,8.5,8.869
Newspoll,571,10.0,8.629
Essential,572,9.0,9.505
F2F Morgan,575,11.5,11.869
Newspoll,585,11.0,9.629
Essential,586,7.0,7.505
F2F Morgan,589,8.0,8.369
Newspoll,597,9.0,7.629
Essential,600,7.0,7.505
F2F Morgan,603,8.5,8.869
Morgan Phone,611,11.0,11.16
Newspoll,613,10.0,8.629
F2F Morgan,617,9.5,9.869
Essential,621,8.0,8.505
Newspoll,628,9.0,7.629
F2F Morgan,631,9.5,9.869
Essential,636,8.0,8.505
Newspoll,641,10.0,8.629
F2F Morgan,645,9.5,9.869
Essential,649,8.0,8.505
Newspoll,655,11.0,9.629
F2F Morgan,659,7.5,7.869
F2F Morgan,663,10.0,10.369
Newspoll,669,10.0,8.629
Essential,670,8.0,8.505
F2F Morgan,673,9.0,9.369
Newspoll,676,10.0,8.629
Morgan Phone,680,10.5,10.66
Newspoll,683,10.0,8.629
Essential,684,8.0,8.505
F2F Morgan,687,7.5,7.869
Newspoll,697,10.0,8.629
F2F Morgan,698,9.5,9.869
Essential,698,9.0,9.505
F2F Morgan,705,8.0,8.369
Morgan Phone,709,8.0,8.16
Newspoll,711,11.0,9.629
F2F Morgan,712,9.0,9.369
F2F Morgan,719,9.0,9.369
Essential,712,7.0,7.505
Newspoll,725,12.0,10.629
Nielsen,725,13.0,12.234
Essential,727,9.0,9.505
Morgan Phone,730,10.5,10.66
Newspoll,732,11.0,9.629
Morgan Phone,734,9.5,9.66
F2F Morgan,736,8.0,8.369
Essential,740,8.0,8.505
F2F Morgan,755,10.0,10.369
F2F Morgan,771,10.0,10.367
Morgan Phone,772,9.5,9.665
Newspoll,774,12.0,10.756
Essential,780,9.0,9.376
F2F Morgan,785,8.5,8.866
Newspoll,788,12.0,10.83
Essential,796,10.0,10.307
F2F Morgan,799,9.0,9.365
Morgan Phone,800,10.5,10.672
Newspoll,802,12.0,10.904
F2F Morgan,810,9.0,9.364
Newspoll,816,9.0,7.978
F2F Morgan,820,8.5,8.863
Essential,824,9.0,9.186
Newspoll,830,9.0,8.051
F2F Morgan,834,11.0,11.362
Newspoll,844,12.0,11.125
Essential,846,10.0,10.091
F2F Morgan,848,8.5,8.86
F2F Morgan,862,12.0,12.359
Nielsen,864,12.0,11.194
Newspoll,865,10.0,9.241
Essential,866,9.0,9.005
F2F Morgan,873,8.0,8.359
Newspoll,879,10.0,9.263
F2F Morgan,880,9.0,9.359
Essential,880,11.0,10.987
Morgan Phone,883,9.0,9.188
Nielsen,885,13.0,12.192
F2F Morgan,887,9.0,9.359
Morgan Phone,891,11.5,11.688
Newspoll,893,12.0,11.263
Galaxy,893,12.0,10.685
F2F Morgan,894,12.0,12.359
Essential,894,10.0,9.987
F2F Morgan,901,11.0,11.359
Morgan Phone,905,12.0,12.188
Newspoll,907,16.0,15.263
F2F Morgan,908,8.5,8.859
Nielsen,913,15.0,14.192
F2F Morgan,915,11.0,11.359
Essential,915,14.0,13.987
F2F Morgan,922,13.0,13.359
Newspoll,928,15.0,14.263
F2F Morgan,929,12.5,12.859
Nielsen,933,8.0,7.192
Galaxy,933,11.0,9.685
McCrindle,933,12.1,11.469
F2F Morgan,929,12.5,12.859
Newspoll,935,10.0,9.263
Morgan Phone,936,9.0,9.188
Essential,937,11.0,10.987
F2F Morgan,939,10.5,10.859
Galaxy,950,14.0,12.685
Nielsen,950,13.0,12.192
F2F Morgan,950,12.0,12.359
Essential,950,13.0,12.987
Galaxy,955,14.0,12.685
Newspoll,956,12.0,11.263
Galaxy,957,12.0,10.685
F2F Morgan,957,10.5,10.859
Nielsen,959,12.0,11.192
Morgan Phone,960,11.5,11.688
Newspoll,963,12.0,11.263
Galaxy,963,15.0,13.685
F2F Morgan,964,11.5,11.859
Essential,964,13.0,12.987
Nielsen,966,12.0,11.192
Galaxy,966,13.0,11.685
Morgan Phone,967,11.0,11.188
Newspoll,970,12.0,11.263
Morgan Phone,973,11.0,11.188
Nielsen,974,13.0,12.192
Newspoll,977,13.0,12.263
Galaxy,978,13.0,11.685
F2F Morgan,978,15.5,15.859
Essential,978,10.0,9.987
Nielsen,981,12.0,11.192
Morgan Phone,984,12.5,12.688
Newspoll,984,14.0,13.263
F2F Morgan,985,13.5,13.859
Essential,986,12.0,11.987
Galaxy,987,14.0,12.685
Newspoll,988,11.8,11.063
Nielsen,987,13.0,12.192
Morgan Phone,989,13.0,13.188
