Firm,Day,UAP FP,UAP FP adj
Morgan multi-mode,12,4.0,4.332
Morgan multi-mode,26,4.5,4.832
ReachTEL,30,5.7,5.406
Morgan multi-mode,40,4.5,4.832
Morgan multi-mode,54,5.5,5.832
Morgan multi-mode,68,5.0,5.332
ReachTEL,72,6.6,6.306
Morgan multi-mode,82,3.5,3.832
Essential,85,4.0,4.343
ReachTEL,96,5.1,4.806
Morgan multi-mode,92,3.5,3.832
Morgan multi-mode,120,3.5,3.832
Essential,124,4.0,4.343
ReachTEL,135,4.6,4.306
Morgan multi-mode,134,3.0,3.332
Essential,134,4.0,4.343
Morgan multi-mode,148,4.5,4.832
Essential,148,3.0,3.343
Essential,162,4.0,4.343
Morgan multi-mode,162,4.5,4.832
ReachTEL,170,4.4,4.106
Morgan multi-mode,176,4.0,4.332
Essential,176,4.0,4.343
Nielsen,185,4.0,4.458
Essential,190,4.0,4.343
Morgan multi-mode,190,4.5,4.832
Essential,204,4.0,4.343
Nielsen,213,4.0,4.458
Essential,218,5.0,5.343
Morgan multi-mode,232,5.5,5.832
Essential,232,5.0,5.343
ReachTEL,235,6.0,5.706
Galaxy,234,6.0,5.716
ReachTEL,240,7.0,6.706
Galaxy,247,8.0,7.716
Nielsen,248,6.0,6.458
Morgan multi-mode,250,6.5,6.832
Essential,246,5.0,5.343
Morgan multi-mode,260,7.5,7.832
Essential,260,6.0,6.343
Morgan Phone,267,3.5,4.091
Morgan multi-mode,271,4.5,4.832
Morgan multi-mode,278,5.5,5.832
Essential,273,5.0,5.343
Morgan multi-mode,288,7.0,7.332
ReachTEL,289,6.8,6.506
Essential,287,6.0,6.343
Morgan multi-mode,302,7.5,7.832
Essential,302,6.0,6.343
Nielsen,311,5.0,5.458
ReachTEL,314,8.0,7.706
Morgan multi-mode,316,5.0,5.332
Galaxy,318,7.0,6.716
Essential,316,5.0,5.343
Morgan multi-mode,330,5.5,5.832
Essential,330,5.0,5.343
Morgan multi-mode,344,4.5,4.832
ReachTEL,345,6.7,6.406
Essential,344,5.0,5.343
Morgan multi-mode,358,4.5,4.832
Essential,358,4.0,4.343
ReachTEL,373,5.3,5.006
Morgan multi-mode,372,4.0,4.332
Essential,372,4.0,4.343
Galaxy,390,4.0,3.716
Morgan multi-mode,390,3.5,3.832
Essential,386,4.0,4.343
Morgan multi-mode,400,3.5,3.832
Essential,400,3.0,3.343
ReachTEL,408,5.1,4.806
Ipsos,416,3.0,3.315
Morgan multi-mode,414,3.0,3.332
Essential,414,4.0,4.343
Morgan multi-mode,428,2.5,2.832
Essential,428,3.0,3.343
ReachTEL,437,3.1,2.806
Morgan multi-mode,442,2.0,2.332
Essential,442,4.0,4.343
Ipsos,451,2.0,2.315
Essential,821,2.0,2.173
Morgan multi-mode,821,2.0,2.404
Morgan multi-mode,484,2.0,2.332
Essential,491,2.0,2.343
Essential,505,3.0,3.343
Morgan multi-mode,502,3.0,3.332
ReachTEL,504,2.7,2.406
Galaxy,506,3.0,2.716
Morgan multi-mode,512,2.0,2.332
Galaxy,513,3.0,2.716
ReachTEL,513,2.7,2.406
Essential,519,2.0,2.343
Morgan multi-mode,526,2.0,2.332
Essential,533,2.0,2.343
Morgan multi-mode,540,2.0,2.332
Essential,547,2.0,2.343
Morgan multi-mode,554,1.5,1.832
Essential,561,1.0,1.343
ReachTEL,565,2.2,1.906
Morgan multi-mode,569,1.5,1.832
Essential,574,2.0,2.343
Morgan multi-mode,582,1.5,1.832
Essential,588,2.0,2.343
ReachTEL,590,2.2,1.906
Morgan multi-mode,596,1.0,1.332
Essential,602,1.0,1.343
ReachTEL,610,2.2,1.906
Galaxy,611,2.0,1.716
Ipsos,612,1.0,1.315
Morgan multi-mode,614,1.5,1.832
Essential,616,1.0,1.343
Morgan multi-mode,624,1.0,1.332
Essential,631,1.0,1.343
Morgan multi-mode,638,1.5,1.832
Essential,645,1.0,1.343
Morgan multi-mode,652,1.5,1.832
ReachTEL,653,1.3,1.006
Essential,658,1.0,1.343
Morgan multi-mode,666,1.0,1.332
Essential,672,2.0,2.343
Morgan multi-mode,680,1.0,1.332
Essential,686,1.0,1.343
ReachTEL,688,1.4,1.106
ReachTEL,695,1.4,1.106
Essential,698,2.0,2.343
Morgan multi-mode,694,1.0,1.332
Ipsos,703,2.0,2.315
Newspoll2,711,2.0,2.068
Essential,714,2.0,2.343
Morgan multi-mode,708,1.5,1.832
