Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,9.0,8.156
Newspoll,4,7.0,7.223
F2F Morgan,15,7.5,6.656
Newspoll,18,7.0,7.223
F2F Morgan,29,6.5,5.656
Newspoll,32,6.0,6.223
F2F Morgan,43,7.0,6.156
Newspoll,46,4.0,4.223
F2F Morgan,57,6.5,5.656
Newspoll,60,6.0,6.223
F2F Morgan,92,7.5,6.656
Newspoll,95,4.0,4.223
F2F Morgan,106,6.0,5.156
Newspoll,109,6.0,6.223
F2F Morgan,120,7.5,6.656
Newspoll,123,5.0,5.223
F2F Morgan,134,7.0,6.156
Nielsen,136,7.0,6.235
Newspoll,137,5.0,5.223
F2F Morgan,148,6.5,5.656
Newspoll,151,5.0,5.223
F2F Morgan,162,7.5,6.656
Newspoll,165,6.0,6.223
F2F Morgan,176,7.5,6.656
Newspoll,179,4.0,4.223
Nielsen,179,7.0,6.235
F2F Morgan,190,5.5,4.656
Newspoll,200,6.0,6.223
F2F Morgan,204,7.0,6.156
Newspoll,214,5.0,5.223
Nielsen,214,7.0,6.235
F2F Morgan,218,7.5,6.656
Newspoll,228,7.0,7.223
F2F Morgan,232,7.0,6.156
Nielsen,234,6.0,5.235
F2F Morgan,246,6.5,5.656
Newspoll,249,6.0,6.223
F2F Morgan,260,6.5,5.656
Newspoll,263,6.0,6.223
F2F Morgan,274,6.5,5.656
Newspoll,277,6.0,6.223
Nielsen,277,6.0,5.235
F2F Morgan,288,7.0,6.156
Newspoll,291,5.0,5.223
F2F Morgan,302,7.5,6.656
F2F Morgan,302,4.0,3.156
Newspoll,305,7.0,7.223
Nielsen,305,7.0,6.235
F2F Morgan,316,6.5,5.656
Newspoll,319,7.0,7.223
F2F Morgan,330,7.0,6.156
Newspoll,333,6.0,6.223
F2F Morgan,344,6.5,5.656
Newspoll,347,5.0,5.223
F2F Morgan,358,7.5,6.656
Newspoll,361,5.0,5.223
Nielsen,361,6.0,5.235
F2F Morgan,372,5.0,4.156
Newspoll,375,5.0,5.223
F2F Morgan,386,6.5,5.656
Newspoll,389,4.0,4.223
F2F Morgan,400,6.5,5.656
Newspoll,403,5.0,5.223
F2F Morgan,414,5.5,4.656
Newspoll,417,5.0,5.223
Nielsen,417,5.0,4.235
F2F Morgan,428,6.0,5.156
Newspoll,431,4.0,4.223
F2F Morgan,456,5.5,4.656
Newspoll,466,4.0,4.223
F2F Morgan,470,5.5,4.656
Newspoll,480,5.0,5.223
F2F Morgan,484,5.5,4.656
Nielsen,487,6.0,5.235
Newspoll,494,4.0,4.223
F2F Morgan,495,5.0,4.156
F2F Morgan,502,5.0,4.156
Newspoll,508,4.0,4.223
F2F Morgan,512,5.5,4.656
Newspoll,522,5.0,5.223
F2F Morgan,526,5.5,4.656
Nielsen,529,6.0,5.235
Newspoll,536,5.0,5.223
F2F Morgan,540,6.5,5.656
Newspoll,550,4.0,4.223
F2F Morgan,554,5.0,4.156
Newspoll,564,6.0,6.223
F2F Morgan,507,6.0,5.156
Newspoll,578,4.0,4.223
F2F Morgan,582,5.5,4.656
Nielsen,585,5.0,4.235
Newspoll,592,6.0,6.223
F2F Morgan,596,5.5,4.656
F2F Morgan,610,5.5,4.656
Newspoll,613,4.0,4.223
F2F Morgan,624,6.0,5.156
Newspoll,627,5.0,5.223
F2F Morgan,635,5.5,4.656
F2F Morgan,641,4.5,3.656
Newspoll,641,3.0,3.223
Nielsen,641,5.0,4.235
F2F Morgan,642,4.5,3.656
F2F Morgan,652,5.5,4.656
Newspoll,655,3.0,3.223
F2F Morgan,655,5.5,4.656
F2F Morgan,666,5.0,4.156
Newspoll,669,5.0,5.223
Nielsen,669,6.0,5.235
F2F Morgan,680,6.0,5.156
Newspoll,683,4.0,4.223
F2F Morgan,694,4.0,3.156
Newspoll,697,4.0,4.223
Newspoll,711,4.0,4.223
Nielsen,711,5.0,4.235
F2F Morgan,750,5.5,4.656
F2F Morgan,722,5.0,4.156
Newspoll,725,6.0,6.223
F2F Morgan,764,6.5,5.656
F2F Morgan,737,6.0,5.156
Newspoll,739,5.0,5.223
F2F Morgan,708,6.5,5.656
Newspoll,753,5.0,5.223
Nielsen,753,6.0,5.235
Newspoll,767,5.0,5.223
F2F Morgan,778,6.5,5.656
Newspoll,781,7.0,7.223
F2F Morgan,792,4.5,3.656
Newspoll,795,5.0,5.223
F2F Morgan,820,5.5,4.656
Newspoll,830,4.0,4.223
F2F Morgan,834,5.5,4.656
F2F Morgan,848,6.0,5.156
Newspoll,851,3.0,3.223
Nielsen,851,6.0,5.235
F2F Morgan,862,5.0,4.156
Newspoll,865,3.0,3.223
F2F Morgan,876,5.5,4.656
Newspoll,879,4.0,4.223
Nielsen,879,5.0,4.235
