Firm,Day,OTH FP,OTH FP adj
SMS Morgan,146,12.5,11.29
Redbridge,145,17.1,16.514
SMS Morgan,160,11.5,10.29
SMS Morgan,173,11.0,9.79
YouGov,198,5.0,6.664
SMS Morgan,201,9.5,8.29
ResolvePM,407,17.0,13.718
Redbridge,418,10.0,9.414
ResolvePM,468,15.0,11.718
ResolvePM,529,18.0,14.718
SMS Morgan,567,13.0,11.79
Newspoll2,573,9.0,10.664
SMS Morgan,580,15.5,14.29
ResolvePM,601,17.0,13.718
ResolvePM,710,21.0,17.77
SMS Morgan,799,15.0,13.732
SMS Morgan,841,18.0,16.718
Newspoll2,853,10.0,11.471
Essential,863,11.8,12.13
Morgan multi-mode,844,20.5,18.651
ResolvePM,864,18.0,15.766
Morgan multi-mode,875,15.5,13.651
Morgan multi-mode,905,16.0,14.151
ResolvePM,913,18.0,15.766
Newspoll2,923,13.0,14.471
Freshwater,926,15.0,14.789
SMS Morgan,931,19.5,18.218
Redbridge,924,14.5,14.185
ResolvePM2,939,17.9,17.34
SMS Morgan,944,17.0,15.718
Newspoll2,944,15.0,16.471
