Firm,Day,UAP FP,UAP FP adj
Galaxy,989,3.0,2.7397185675206526
Morgan multi-mode,1000,1.5,1.8209170707792728
Morgan multi-mode,1014,2.0,2.320917070779273
Galaxy,1017,4.0,3.7397185675206526
Newspoll2,1020,5.0,4.339114926910046
Morgan multi-mode,1021,2.0,2.320917070779273
Ipsos,1026,3.0,3.056191577173319
Newspoll2,1027,4.0,3.339114926910046
Morgan multi-mode,1028,3.5,3.820917070779273
Newspoll2,1034,4.0,3.339114926910046
Morgan multi-mode,1034,3.5,3.820917070779273
Ipsos,1037,3.0,3.056191577173319
Galaxy,1037,3.0,2.7397185675206526
Newspoll2,1039,4.0,3.339114926910046
