House,Party,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Galaxy,ALP TPP,-1.0483491757775494,-0.32028253462801737,-0.18682726605435554,-0.08597334716199284,-0.01539016220226036,0.03730867522719815,0.10183800816889302,0.17883495254048476,0.2862988403301766,0.46956349555806376,1.2936534409891756
ReachTEL,ALP TPP,-2.15877595134082,-0.7836606279201077,-0.4791654278472478,-0.2992580531055036,-0.17054283497653455,-0.06196318155750852,0.024532273212955293,0.14130903889231053,0.3108659568597112,0.5337009630738785,1.7489490589569427
Newspoll,ALP TPP,-1.600107769872806,-0.3286628311515044,-0.07198388602272698,0.08310229724326207,0.23225519367032477,0.3817562279655815,0.5330052429965664,0.6987081876877064,0.9323751376372433,1.2195043533812102,2.6675074970918313
Lonergan,ALP TPP,-4.43869656415082,-1.7576046571325123,-1.2498500666011052,-0.8665326900193533,-0.5629980003941815,-0.32274552767180087,-0.12577275983241948,0.043564442744933554,0.26597040340666106,0.6740231708092683,2.991401659656653
Morgan Phone,ALP TPP,-6.285538675658753,-2.646782819269215,-1.9227421021256734,-1.4121269551158306,-1.074503035909424,-0.7334950981105903,-0.45470189334431727,-0.18605165594377676,0.05188713743784948,0.43868855703851917,2.561481139848357
SMS Morgan,ALP TPP,-3.3665815746112173,-1.6472142529356057,-1.2540973382596028,-1.003807045870316,-0.743654826941002,-0.5373758537365212,-0.36283207642997145,-0.1931059487365097,-0.027083062536735335,0.18820241311193464,1.6748411834359886
Nielsen,ALP TPP,-3.8434381850068444,-1.35173809188281,-0.8763237495927447,-0.567866329249638,-0.35540969364492186,-0.12485893904304544,0.05856464715186749,0.24322016640410693,0.5183792983697791,0.9765432202628513,4.494407473058727
Essential,ALP TPP,-2.088232447878571,-0.5075584008116768,-0.20246962954271452,-0.012778656713212953,0.12559302293697056,0.27275895022165175,0.44242595487337266,0.6473841804112633,0.9019182136192843,1.2225912293709063,2.7696940136325994
Ipsos,ALP TPP,-3.262448845226335,-1.2361793568281028,-0.7564169701625787,-0.49130252767359783,-0.2504364772376038,-0.05801791620008018,0.09246320487304441,0.264960928307821,0.515673238195786,0.9125191064553684,2.7532466217307183
