Firm,Day,ALP TPP,ALP TPP adj
Galaxy,1,45.71833331736202,45.89264007829668
Galaxy,43,41.76237498434698,41.93668174528164
Galaxy,86,46.971776151257636,47.1460829121923
Galaxy,166,46.52799039222086,46.70229715315552
Galaxy,239,42.565791945544866,42.74009870647953
Galaxy,352,45.46812964156924,45.642436402503904
Newspoll,423,43.2846410867355,43.110407077631066
Essential,470,39.68970977942316,40.2136738374885
Newspoll,515,40.89900331924923,40.7247693101448
Galaxy,525,41.463858136419006,41.63816489735367
Newspoll,607,50.57371265030469,50.39947864120026
Galaxy,610,45.50473608263575,45.679042843570414
Galaxy,645,45.23221869828316,45.406525459217825
Newspoll,697,39.99198465352311,39.81775064441868
Galaxy,701,39.281506534355735,39.4558132952904
Newspoll,788,38.2858499080153,38.11161589891087
Galaxy,798,38.18328002000303,38.357586780937694
Newspoll,880,43.54639269488548,43.37215868578105
Galaxy,883,39.2892,39.46350676093466
Galaxy,951,42.037000000000006,42.21130676093467
Newspoll,972,41.47316173551022,41.298927726405786
Galaxy,972,41.072,41.246306760934665
Galaxy,1001,41.41940000000001,41.59370676093467
Newspoll,1007,38.331799999999994,38.15756599089556
