Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,48.0,44.251
Nielsen,21,48.0,45.839
F2F Morgan,32,48.0,44.251
F2F Morgan,63,48.0,44.251
Nielsen,82,48.0,45.839
F2F Morgan,93,48.0,44.251
Newspoll,110,46.0,47.618
F2F Morgan,124,47.5,43.751
Nielsen,151,50.0,47.839
F2F Morgan,155,47.5,43.751
Newspoll,171,44.0,45.618
F2F Morgan,185,46.5,42.751
F2F Morgan,216,46.0,42.251
Newspoll,232,47.0,48.618
Nielsen,237,45.0,42.839
F2F Morgan,246,49.5,45.751
F2F Morgan,277,50.5,46.751
Newspoll,294,45.0,46.618
F2F Morgan,308,49.0,45.251
Nielsen,327,48.0,45.839
F2F Morgan,337,51.0,47.251
Newspoll,354,44.0,45.618
F2F Morgan,368,49.5,45.751
F2F Morgan,398,48.0,44.251
Newspoll,415,47.0,48.618
F2F Morgan,429,50.5,46.751
F2F Morgan,459,49.5,45.751
Nielsen,473,49.0,46.839
Newspoll,476,44.0,45.618
F2F Morgan,490,48.5,44.751
F2F Morgan,521,50.0,46.251
Newspoll,537,46.0,47.618
Nielsen,550,50.0,47.839
F2F Morgan,551,52.0,48.251
F2F Morgan,582,53.5,49.751
Newspoll,598,44.0,45.618
F2F Morgan,612,53.0,49.251
F2F Morgan,643,51.5,47.751
Newspoll,660,46.0,47.618
F2F Morgan,674,50.5,46.751
Nielsen,699,51.0,48.839
F2F Morgan,702,54.0,50.251
Newspoll,719,46.0,47.618
F2F Morgan,733,52.0,48.251
F2F Morgan,763,51.5,47.751
Newspoll,780,48.0,49.618
F2F Morgan,794,52.5,48.751
F2F Morgan,824,48.0,44.251
Newspoll,841,39.0,40.618
F2F Morgan,855,47.5,43.751
Nielsen,862,48.0,45.839
F2F Morgan,886,48.5,44.751
Newspoll,902,41.0,42.618
F2F Morgan,916,48.0,44.251
F2F Morgan,947,48.5,44.751
Newspoll,963,37.0,38.618
F2F Morgan,977,42.5,38.751
F2F Morgan,1008,49.5,45.751
Newspoll,1025,41.0,42.618
F2F Morgan,1039,44.0,40.251
F2F Morgan,1067,47.5,43.751
Newspoll,1084,41.0,42.618
F2F Morgan,1098,46.5,42.751
F2F Morgan,1128,48.0,44.251
Newspoll,1145,39.0,40.618
F2F Morgan,1159,50.5,46.751
F2F Morgan,1189,47.0,43.251
Newspoll,1206,41.0,42.575
F2F Morgan,1220,50.0,46.09
F2F Morgan,1251,47.0,42.856
Newspoll,1267,41.0,42.247
F2F Morgan,1281,47.5,43.137
F2F Morgan,1312,47.0,42.417
Newspoll,1328,41.0,41.982
F2F Morgan,1342,49.0,44.373
F2F Morgan,1373,52.0,47.373
Newspoll,1390,41.0,41.982
F2F Morgan,1404,50.5,45.873
Nielsen,1415,42.0,42.647
Nielsen,1423,44.0,44.647
Newspoll,1426,44.0,44.982
Morgan Phone,1430,42.0,42.357
Nielsen,1430,42.0,42.647
Nielsen,1437,42.0,42.647
Newspoll,1437,46.0,46.982
