Firm,Day,ONP FP,ONP FP adj
Essential,58,5.0,4.586
Essential,73,6.0,5.586
Essential,86,6.0,5.586
Newspoll2,89,6.0,5.27
Essential,102,6.0,5.586
Newspoll2,103,5.0,4.27
Essential,116,6.0,5.586
Essential,129,6.0,5.586
Newspoll2,131,4.0,3.27
Ipsos,137,7.0,7.518
Essential,143,8.0,7.586
Newspoll2,145,5.0,4.27
Essential,157,8.0,7.586
ReachTEL,185,10.6,9.245
Essential,187,8.0,7.586
Essential,198,10.0,9.586
Newspoll2,208,8.0,7.27
Essential,212,10.0,9.586
Essential,226,9.0,8.586
Newspoll2,229,10.0,9.27
Essential,240,11.0,10.586
Newspoll2,250,10.0,9.27
Ipsos,256,2.0,2.518
Essential,254,8.0,7.586
Newspoll2,264,10.0,9.27
Essential,266,8.0,7.586
Essential,280,8.0,7.586
Newspoll2,285,10.0,9.27
Essential,294,6.0,5.586
Ipsos,305,2.0,2.518
ReachTEL,304,11.0,9.645
Newspoll2,306,9.0,8.27
Essential,308,6.0,5.586
Newspoll2,321,9.0,8.27
Essential,322,6.0,5.586
Essential,336,9.0,8.586
Newspoll2,341,11.0,10.27
YouGov,349,7.0,6.08
Essential,350,7.0,6.586
ReachTEL,353,9.6,8.245
Newspoll2,362,11.0,10.27
YouGov,363,7.0,6.08
Essential,364,7.0,6.586
ReachTEL,373,11.7,10.345
Newspoll2,376,9.0,8.27
YouGov,376,8.0,7.08
Essential,378,8.0,7.586
Newspoll2,390,8.0,7.27
YouGov,390,9.0,8.08
Essential,392,8.0,7.586
Newspoll2,404,9.0,8.27
YouGov,404,10.0,9.08
Essential,406,8.0,7.586
ReachTEL,408,10.4,9.045
Essential,414,8.0,7.586
Newspoll2,418,8.0,7.27
YouGov,418,9.0,8.08
Essential,428,8.0,7.586
YouGov,432,9.0,8.08
Essential,435,8.0,7.586
Newspoll2,439,8.0,7.27
Essential,442,7.0,6.586
ReachTEL,447,8.0,6.645
Essential,453,8.0,7.586
Newspoll2,460,9.0,8.27
Essential,470,7.0,6.586
Newspoll2,474,9.0,8.27
Essential,488,8.0,7.586
Newspoll2,487,10.0,9.27
YouGov,488,11.0,10.08
Essential,498,8.0,7.586
YouGov,502,11.0,10.08
ReachTEL,506,9.0,7.645
Ipsos,509,7.0,7.518
Newspoll2,509,8.0,7.27
YouGov,516,8.0,7.08
Essential,516,7.0,6.586
Newspoll2,523,7.0,6.27
Essential,551,6.0,5.586
ReachTEL,563,8.0,6.645
Essential,565,8.0,7.586
Newspoll2,571,5.0,4.27
Essential,579,6.0,5.586
Newspoll2,586,8.0,7.27
ReachTEL,593,7.0,5.645
Essential,593,8.0,7.586
Newspoll2,600,7.0,6.27
Morgan multi-mode,604,3.0,5.844
Essential,607,8.0,7.586
Morgan multi-mode,618,3.5,6.344
Newspoll2,621,7.0,6.27
Essential,621,8.0,7.586
ReachTEL,625,7.0,5.645
Morgan multi-mode,625,3.0,5.844
Ipsos,632,8.0,8.518
Newspoll2,635,7.0,6.27
Essential,635,7.0,6.586
Newspoll2,649,7.0,6.27
Essential,649,8.0,7.586
ReachTEL,658,6.0,4.645
Essential,663,6.0,5.586
Ipsos,669,5.0,5.518
Newspoll2,670,6.0,5.27
Essential,670,7.0,6.586
Essential,677,8.0,7.586
Newspoll2,684,8.0,7.27
ReachTEL,689,9.0,7.645
Essential,691,8.0,7.586
Essential,705,7.0,6.586
Newspoll2,705,6.0,5.27
Ipsos,712,6.0,6.518
Newspoll2,719,6.0,5.27
Essential,719,6.0,5.586
Newspoll2,733,7.0,6.27
Essential,733,6.0,5.586
Newspoll2,747,7.0,6.27
Essential,747,6.0,5.586
Newspoll2,761,9.0,8.27
Essential,761,6.0,5.586
Ipsos,767,8.0,8.518
Morgan multi-mode,769,2.0,4.844
Newspoll2,775,7.0,6.27
Essential,775,7.0,6.586
Morgan multi-mode,776,2.5,5.344
Newspoll2,789,6.0,5.27
Essential,789,8.0,7.586
Ipsos,795,7.0,7.518
Newspoll2,803,6.0,5.286
Essential,803,5.0,4.557
Essential,817,7.0,6.458
Ipsos,823,5.0,5.407
Newspoll2,823,6.0,5.365
Essential,831,7.0,6.358
Newspoll2,838,6.0,5.42
Essential,845,6.0,5.258
Newspoll2,852,6.0,5.476
Ipsos,858,5.0,5.25
Essential,859,7.0,6.159
Newspoll2,866,8.0,7.531
Essential,873,6.0,5.059
Newspoll2,880,7.0,6.587
Ipsos,886,6.0,6.12
Essential,887,7.0,5.959
Essential,914,7.0,5.774
Newspoll2,929,6.0,5.745
Essential,930,7.0,5.732
Morgan multi-mode,940,3.0,4.105
Newspoll2,943,5.0,4.745
Essential,943,7.0,5.732
Ipsos,948,5.0,4.963
Morgan multi-mode,951,3.5,4.605
Newspoll2,957,5.0,4.745
Essential,957,7.0,5.732
uComms,961,6.1,5.71
Newspoll2,971,7.0,6.745
Essential,971,7.0,5.732
Essential,985,7.0,5.732
Galaxy,989,9.0,8.595
Morgan multi-mode,982,3.5,4.605
Ipsos,998,5.0,4.963
Newspoll2,999,6.0,5.745
Morgan multi-mode,1000,4.0,5.105
Essential,999,5.0,3.732
