Firm,Day,LNP FP,LNP FP adj
Morgan Phone,1,46.0,45.303
Morgan Phone,133,48.0,47.303
Newspoll,244,48.0,49.79
Newspoll,305,47.0,48.79
Newspoll,366,43.0,44.79
Newspoll,428,45.0,46.79
Morgan Phone,480,45.5,44.803
Newspoll,488,42.0,43.79
Morgan Phone,557,44.5,43.803
Newspoll,610,41.0,42.79
Morgan Phone,620,47.0,46.303
Newspoll,671,37.0,38.79
JWS Research,722,48.0,46.716
Essential,725,43.0,43.345
Newspoll,732,36.0,37.79
ReachTEL,787,37.9,37.181
Newspoll,794,39.0,40.79
ReachTEL,815,44.2,43.481
ReachTEL,827,44.9,44.181
Nielsen,829,41.0,41.461
Essential,836,45.0,45.345
Newspoll,853,43.0,44.79
ReachTEL,864,49.5,48.781
Essential,898,38.0,38.345
ReachTEL,914,43.6,42.881
Newspoll,914,43.0,44.79
Newspoll,975,41.0,42.79
Newspoll,1036,39.0,40.79
Essential,1082,41.0,41.345
ReachTEL,1088,43.4,42.681
Nielsen,1089,40.0,40.461
Essential,1111,43.0,43.345
Essential,1142,40.0,40.345
Essential,1173,37.0,37.345
Nielsen,1185,41.0,41.461
Galaxy,1185,42.0,41.705
Newspoll,1185,38.0,39.79
Essential,1201,42.0,42.345
Essential,1232,42.0,42.301
Essential,1262,38.0,38.209
Newspoll,1279,37.0,38.51
Essential,1293,41.0,41.11
Nielsen,1299,37.0,37.215
Essential,1324,39.0,39.017
Nielsen,1327,41.0,41.131
Newspoll,1340,35.0,36.248
Galaxy,1354,40.0,39.859
Essential,1355,40.0,39.974
Essential,1385,39.0,38.974
SMS Morgan,1398,37.5,38.03
Essential,1412,38.0,37.974
Essential,1415,39.0,38.974
Galaxy,1423,40.0,39.859
ReachTEL,1424,38.6,38.735
SMS Morgan,1426,37.5,38.03
Ipsos,1427,39.0,38.99
Newspoll,1429,39.0,40.248
Ipsos,1439,39.0,38.99
SMS Morgan,1442,38.0,38.53
Essential,1444,40.0,39.974
SMS Morgan,1445,35.0,35.53
Galaxy,1450,40.0,39.859
SMS Morgan,1454,39.5,40.03
Galaxy,1456,40.0,39.859
Newspoll,1457,40.0,41.248
Ipsos,1457,42.0,41.99
SMS Morgan,1458,44.5,45.03
ReachTEL,1458,39.7,39.835
