Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,16.0,16.272
Newspoll,4,12.0,15.541
F2F Morgan,15,16.0,16.272
Newspoll,18,14.0,17.541
F2F Morgan,29,14.0,14.272
Newspoll,32,13.0,16.541
F2F Morgan,43,15.5,15.772
Newspoll,46,12.0,15.541
Quadrant,52,8.05,9.678
F2F Morgan,57,14.0,14.272
Newspoll,60,13.0,16.541
F2F Morgan,92,15.0,15.272
Newspoll,95,12.0,15.541
F2F Morgan,106,14.0,14.272
Newspoll,109,12.0,15.541
F2F Morgan,120,13.0,13.272
Newspoll,123,10.0,13.541
F2F Morgan,134,14.0,14.272
Nielsen,136,14.0,13.611
Newspoll,137,10.0,13.541
F2F Morgan,148,15.5,15.772
Newspoll,151,11.0,14.541
F2F Morgan,162,15.0,15.272
Newspoll,165,12.0,15.541
F2F Morgan,176,16.0,16.272
Newspoll,179,11.0,14.541
Nielsen,179,17.0,16.611
F2F Morgan,190,14.0,14.272
Newspoll,200,13.0,16.541
F2F Morgan,204,14.5,14.772
Newspoll,214,10.0,13.541
Nielsen,214,17.0,16.611
F2F Morgan,218,15.5,15.772
Newspoll,228,13.0,16.541
F2F Morgan,232,14.5,14.772
Nielsen,234,16.0,15.611
F2F Morgan,246,14.0,14.272
Newspoll,249,12.0,15.541
F2F Morgan,260,12.0,12.272
Newspoll,263,12.0,15.541
F2F Morgan,274,14.0,14.272
Newspoll,277,12.0,15.541
Nielsen,277,16.0,15.611
F2F Morgan,288,14.0,14.272
Newspoll,291,12.0,15.541
F2F Morgan,302,14.0,14.272
F2F Morgan,302,10.5,10.772
Newspoll,305,12.0,15.541
Nielsen,305,16.0,15.611
F2F Morgan,316,13.0,13.272
Newspoll,319,13.0,16.541
F2F Morgan,330,16.5,16.772
Newspoll,333,11.0,14.541
F2F Morgan,344,15.5,15.772
Newspoll,347,11.0,14.541
F2F Morgan,358,16.0,16.272
Newspoll,361,11.0,14.541
Nielsen,361,14.0,13.611
F2F Morgan,372,14.5,14.772
Newspoll,375,11.0,14.541
F2F Morgan,386,15.0,15.272
Newspoll,389,9.0,12.541
F2F Morgan,400,15.5,15.772
Newspoll,403,11.0,14.541
F2F Morgan,414,12.0,12.272
Newspoll,417,8.0,11.541
Nielsen,417,14.0,13.611
F2F Morgan,428,14.0,14.272
Newspoll,431,8.0,11.541
F2F Morgan,456,12.5,12.772
Newspoll,466,10.0,13.541
F2F Morgan,470,12.5,12.772
Newspoll,480,12.0,15.541
