Firm,Day,GRN FP,GRN FP adj
Newspoll,1,7.0,8.693
Newspoll,22,6.0,7.693
F2F Morgan,47,6.5,6.229
F2F Morgan,61,6.0,5.729
Newspoll,57,4.0,5.693
F2F Morgan,75,7.0,6.729
Newspoll,78,5.0,6.693
F2F Morgan,89,6.0,5.729
F2F Morgan,103,6.5,6.229
Newspoll,106,4.0,5.693
F2F Morgan,117,7.0,6.729
Newspoll,485,6.0,7.693
Newspoll,865,4.0,5.683
F2F Morgan,135,6.5,6.229
F2F Morgan,145,6.5,6.229
Newspoll,148,4.0,5.693
F2F Morgan,159,6.5,6.229
Newspoll,162,4.0,5.693
F2F Morgan,173,6.5,6.229
Newspoll,176,4.0,5.693
F2F Morgan,187,7.0,6.729
Newspoll,190,6.0,7.693
F2F Morgan,201,6.5,6.229
Newspoll,211,4.0,5.693
F2F Morgan,213,7.0,6.729
Newspoll,225,5.0,6.693
F2F Morgan,229,6.0,5.729
Newspoll,239,6.0,7.693
F2F Morgan,243,6.5,6.229
Newspoll,253,6.0,7.693
F2F Morgan,257,7.0,6.729
Newspoll,267,4.0,5.693
F2F Morgan,271,8.0,7.729
Newspoll,281,5.0,6.693
F2F Morgan,285,9.0,8.729
Newspoll,295,8.0,9.693
F2F Morgan,299,9.5,9.229
Newspoll,309,7.0,8.693
F2F Morgan,317,10.0,9.729
F2F Morgan,327,10.5,10.229
Newspoll,330,8.0,9.693
F2F Morgan,341,10.0,9.729
Newspoll,344,7.0,8.693
F2F Morgan,355,9.5,9.229
Newspoll,358,7.0,8.693
F2F Morgan,369,9.0,8.729
Newspoll,372,6.0,7.693
F2F Morgan,383,9.0,8.729
Newspoll,386,8.0,9.693
F2F Morgan,411,8.5,8.229
Nielsen,417,9.0,8.455
Newspoll,421,8.0,9.693
F2F Morgan,425,9.0,8.729
Newspoll,435,7.0,8.693
F2F Morgan,439,8.0,7.729
Newspoll,449,7.0,8.693
F2F Morgan,453,10.5,10.229
Newspoll,463,8.0,9.693
F2F Morgan,467,11.0,10.729
Newspoll,477,8.0,9.693
F2F Morgan,478,11.0,10.729
Newspoll,484,9.0,10.693
F2F Morgan,485,9.5,9.229
Newspoll,491,9.0,10.693
F2F Morgan,499,9.0,8.729
Newspoll,505,8.0,9.693
F2F Morgan,506,10.0,9.729
F2F Morgan,513,10.0,9.729
F2F Morgan,523,8.0,7.729
Newspoll,526,8.0,9.693
Nielsen,526,9.0,8.455
F2F Morgan,537,8.0,7.729
Newspoll,540,6.0,7.693
Nielsen,540,9.0,8.455
F2F Morgan,551,9.5,9.229
Newspoll,554,7.0,8.693
F2F Morgan,565,8.5,8.229
Newspoll,575,7.0,8.693
