Firm,Day,OTH FP,OTH FP adj
Advertiser,1,8.0,8.398
Advertiser,122,10.0,10.398
Newspoll,141,14.0,13.363
Advertiser,188,15.0,15.398
Newspoll,215,15.0,14.363
Advertiser,255,20.0,20.398
Advertiser,307,13.201,13.6
Advertiser,400,10.005,10.403
Newspoll,415,15.0,14.363
Newspoll,491,15.0,14.363
Newspoll,673,17.0,16.363
Advertiser,686,15.0,15.398
Newspoll,765,10.0,9.363
Advertiser,882,10.0,10.398
Newspoll,885,13.0,12.363
Newspoll,946,13.0,12.363
Galaxy,1127,12.0,12.51
Newspoll,1130,17.0,15.877
Galaxy,1219,12.0,12.51
Newspoll,1231,15.0,13.877
Newspoll,1247,16.0,14.877
