Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,42.0,43.574
F2F Morgan,33,44.5,46.074
Newspoll,47,45.0,42.598
Nielsen,50,43.0,44.074
F2F Morgan,58,39.5,41.074
F2F Morgan,96,37.5,39.074
Newspoll,109,45.0,42.598
F2F Morgan,124,40.5,42.074
Nielsen,141,36.0,37.074
F2F Morgan,152,39.5,41.074
Newspoll,169,40.0,37.598
F2F Morgan,184,36.5,38.074
F2F Morgan,215,34.0,35.574
Newspoll,230,37.0,34.598
Nielsen,232,37.0,38.074
F2F Morgan,243,36.5,38.074
F2F Morgan,275,33.0,34.574
Nielsen,288,32.0,33.074
Newspoll,291,37.0,34.598
F2F Morgan,305,37.0,38.574
F2F Morgan,336,34.0,35.574
Newspoll,352,40.0,37.598
F2F Morgan,366,30.5,32.074
F2F Morgan,397,35.0,36.574
Newspoll,413,42.0,39.598
F2F Morgan,427,35.0,36.574
F2F Morgan,458,37.5,39.074
Newspoll,475,39.0,36.598
F2F Morgan,489,33.0,34.574
Nielsen,498,31.0,32.074
F2F Morgan,517,30.5,32.074
Newspoll,534,36.0,33.598
F2F Morgan,548,31.5,33.074
Nielsen,554,30.0,31.074
F2F Morgan,578,30.0,31.574
Quadrant,587,35.0,33.844
Newspoll,595,36.0,33.598
F2F Morgan,609,34.0,35.574
F2F Morgan,639,31.0,32.574
Newspoll,656,41.0,38.598
F2F Morgan,670,31.5,33.074
F2F Morgan,701,31.0,32.574
Newspoll,717,43.0,40.598
F2F Morgan,731,37.5,39.074
F2F Morgan,762,32.0,33.574
Newspoll,778,42.0,39.598
F2F Morgan,792,37.5,39.074
F2F Morgan,823,40.0,41.574
Newspoll,840,39.0,36.598
F2F Morgan,854,39.5,41.074
F2F Morgan,882,38.5,40.074
Newspoll,899,37.0,34.598
F2F Morgan,913,37.0,38.51
F2F Morgan,943,31.5,32.849
Newspoll,960,37.0,35.25
F2F Morgan,974,36.5,37.689
F2F Morgan,1004,37.0,38.029
Newspoll,1021,38.0,36.947
F2F Morgan,1035,35.0,35.933
Nielsen,1057,38.0,37.969
F2F Morgan,1066,36.5,37.433
Newspoll,1082,40.0,38.947
F2F Morgan,1096,37.5,38.433
F2F Morgan,1127,34.0,34.933
Saulwick,1128,33.696,33.56
Newspoll,1125,37.0,35.947
Morgan Phone,1134,37.5,37.077
Newspoll,1140,38.0,36.947
Morgan Phone,1140,36.0,35.577
Saulwick,1141,35.227,35.091
Morgan Phone,1142,36.5,36.077
