Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,7.0,7.209
F2F Morgan,30,7.0,7.209
F2F Morgan,44,7.0,7.209
F2F Morgan,79,7.0,7.209
F2F Morgan,93,6.0,6.209
F2F Morgan,107,6.0,6.209
F2F Morgan,121,7.0,7.209
F2F Morgan,135,6.0,6.209
F2F Morgan,149,7.0,7.209
F2F Morgan,163,7.0,7.209
F2F Morgan,177,8.0,8.209
F2F Morgan,188,9.0,9.209
F2F Morgan,195,8.0,8.209
F2F Morgan,205,9.0,9.209
F2F Morgan,219,7.0,7.209
F2F Morgan,233,7.0,7.209
F2F Morgan,247,7.0,7.209
F2F Morgan,261,8.0,8.209
F2F Morgan,266,9.0,9.209
F2F Morgan,289,9.0,9.209
F2F Morgan,303,11.0,11.209
F2F Morgan,315,9.0,9.209
F2F Morgan,331,7.0,7.209
F2F Morgan,345,7.0,7.209
F2F Morgan,359,9.0,9.209
F2F Morgan,373,7.0,7.209
F2F Morgan,387,7.0,7.209
F2F Morgan,401,9.0,9.209
F2F Morgan,415,8.0,8.209
F2F Morgan,443,6.0,6.209
F2F Morgan,457,6.0,6.209
F2F Morgan,471,8.0,8.209
F2F Morgan,485,8.0,8.209
F2F Morgan,499,8.0,8.209
F2F Morgan,513,8.0,8.209
F2F Morgan,527,7.0,7.209
F2F Morgan,541,6.0,6.209
F2F Morgan,555,6.0,6.209
F2F Morgan,569,6.0,6.209
F2F Morgan,583,6.0,6.209
F2F Morgan,597,5.0,5.209
F2F Morgan,611,6.0,6.209
F2F Morgan,625,6.0,6.209
F2F Morgan,641,7.0,7.209
F2F Morgan,653,8.0,8.209
F2F Morgan,667,6.0,6.209
F2F Morgan,681,7.0,7.209
F2F Morgan,692,7.0,7.209
F2F Morgan,699,6.0,6.209
F2F Morgan,709,7.0,7.209
F2F Morgan,723,7.0,7.209
F2F Morgan,737,5.0,5.209
F2F Morgan,751,5.0,5.209
F2F Morgan,765,7.0,7.209
F2F Morgan,779,6.0,6.209
F2F Morgan,807,5.0,5.209
F2F Morgan,821,7.0,7.209
F2F Morgan,832,5.0,5.209
F2F Morgan,839,5.0,5.209
F2F Morgan,846,4.0,4.209
F2F Morgan,853,6.0,6.209
F2F Morgan,857,6.0,6.209
