Firm,Day,ALP FP,ALP FP adj
Westpoll,60,34.8,35.23
Westpoll,128,34.0,34.43
Newspoll,159,33.0,33.262
Westpoll,176,34.0,34.43
Westpoll,273,30.0,30.43
Westpoll,340,35.0,35.43
Westpoll,401,35.0,35.43
Westpoll,500,28.0,28.43
Newspoll,524,37.0,37.262
Newspoll,614,32.0,32.262
Newspoll,706,30.0,30.262
Newspoll,797,29.0,29.262
Newspoll,889,30.0,30.262
Newspoll,978,43.0,43.262
Newspoll,1071,29.0,29.262
Newspoll,1163,29.0,29.262
Westpoll,1228,29.0,29.43
Newspoll,1254,35.0,35.262
Morgan Phone,1331,29.5,29.558
Westpoll,1401,35.0,35.43
Morgan Phone,1418,31.0,31.048
Newspoll,1437,30.0,30.328
Newspoll,1529,30.0,30.471
Westpoll,1591,30.0,30.462
Newspoll,1611,35.0,35.471
Galaxy,1625,35.0,34.887
Newspoll,1639,32.0,32.471
