Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,43.0,43.277
Newspoll,8,41.0,40.638
F2F Morgan,15,43.5,43.777
F2F Morgan,29,40.0,40.277
Newspoll,39,39.0,38.638
F2F Morgan,43,42.0,42.277
F2F Morgan,57,41.0,41.277
Newspoll,67,37.0,36.638
F2F Morgan,71,42.0,42.277
F2F Morgan,85,39.0,39.277
F2F Morgan,99,41.0,41.277
Newspoll,102,38.0,37.638
F2F Morgan,113,38.5,38.777
F2F Morgan,127,38.5,38.777
Newspoll,137,38.0,37.638
F2F Morgan,141,39.0,39.277
F2F Morgan,155,39.0,39.277
Newspoll,165,37.0,36.638
F2F Morgan,169,37.0,37.277
F2F Morgan,183,34.0,34.277
Newspoll,197,34.0,33.638
F2F Morgan,197,33.0,33.277
F2F Morgan,211,33.0,33.277
F2F Morgan,225,32.0,32.277
Newspoll,228,34.0,33.638
F2F Morgan,239,32.0,32.277
Newspoll,246,33.0,32.638
F2F Morgan,253,33.0,33.277
F2F Morgan,281,32.0,32.277
F2F Morgan,295,36.0,36.277
F2F Morgan,309,37.5,37.777
Newspoll,316,35.0,34.638
F2F Morgan,323,35.0,35.277
F2F Morgan,337,35.0,35.277
Newspoll,340,35.0,34.638
F2F Morgan,351,33.0,33.277
F2F Morgan,365,34.0,34.277
Newspoll,375,35.0,34.638
F2F Morgan,379,32.0,32.277
F2F Morgan,393,32.0,32.277
Newspoll,403,35.0,34.638
F2F Morgan,407,32.0,32.277
F2F Morgan,418,35.0,35.277
F2F Morgan,425,38.0,38.277
F2F Morgan,435,38.0,38.277
Newspoll,445,38.0,37.638
F2F Morgan,449,37.0,37.277
F2F Morgan,463,34.0,34.277
Newspoll,473,38.0,37.638
F2F Morgan,477,36.0,36.277
F2F Morgan,491,33.5,33.777
Newspoll,501,39.0,38.638
F2F Morgan,505,37.0,37.277
F2F Morgan,519,38.5,38.777
Newspoll,533,40.0,39.638
F2F Morgan,533,37.0,37.277
F2F Morgan,547,37.0,37.277
Newspoll,561,37.0,36.638
F2F Morgan,561,36.0,36.277
F2F Morgan,575,36.0,36.277
Newspoll,589,37.0,36.638
F2F Morgan,589,36.0,36.277
Newspoll,599,35.0,34.638
F2F Morgan,599,37.0,37.277
F2F Morgan,606,33.0,33.277
Newspoll,610,36.0,35.638
F2F Morgan,613,31.5,31.777
F2F Morgan,641,35.0,35.277
AGB McNair,643,35.0,32.599
AGB McNair,652,40.0,37.599
F2F Morgan,652,36.0,36.277
Newspoll,655,38.0,37.638
AGB McNair,666,41.0,38.599
F2F Morgan,666,36.0,36.277
Newspoll,669,34.0,33.638
AGB McNair,680,38.0,35.599
F2F Morgan,680,36.0,36.277
Newspoll,683,35.0,34.638
F2F Morgan,690,36.0,36.277
AGB McNair,694,42.0,39.599
F2F Morgan,697,37.5,37.777
Newspoll,698,41.0,40.638
AGB McNair,708,44.0,41.599
F2F Morgan,708,39.5,39.777
Newspoll,711,39.0,38.638
AGB McNair,722,43.0,40.599
F2F Morgan,722,40.0,40.277
Newspoll,725,43.0,42.638
AGB McNair,736,41.0,38.599
F2F Morgan,736,38.5,38.777
Newspoll,739,40.0,39.638
AGB McNair,750,39.0,36.599
F2F Morgan,750,38.0,38.277
Newspoll,760,37.0,36.638
AGB McNair,764,40.0,37.599
F2F Morgan,764,37.0,37.277
Newspoll,774,36.0,35.638
AGB McNair,778,40.0,37.599
F2F Morgan,778,36.5,36.777
Newspoll,788,35.0,34.638
AGB McNair,792,41.0,38.599
F2F Morgan,792,36.5,36.777
Newspoll,802,37.0,36.638
AGB McNair,806,38.0,35.599
F2F Morgan,806,35.0,35.277
Newspoll,816,38.0,37.638
AGB McNair,820,38.0,35.599
F2F Morgan,820,36.0,36.277
Newspoll,830,38.0,37.638
