Firm,Day,ALP TPP,ALP TPP adj
Newspoll,1,54.818,54.65539245710158
Newspoll,62,51.492,51.32939245710158
Newspoll,123,52.492,52.32939245710158
Nielsen,176,54.398,54.56062971184123
Newspoll,184,51.694,51.53139245710158
Newspoll,246,52.745999999999995,52.583392457101574
Newspoll,305,54.238,54.07539245710158
Nielsen,357,54.398,54.56062971184123
Newspoll,366,55.114,54.951392457101576
Newspoll,427,54.124,53.96139245710158
Nielsen,445,53.486000000000004,53.64862971184123
Newspoll,488,53.238,53.07539245710158
Nielsen,509,53.978,54.14062971184123
Newspoll,527,53.61600000000001,53.453392457101586
Nielsen,536,53.144,53.306629711841225
Morgan phone,537,55.687999999999995,55.81849919742244
Morgan phone,540,51.6,51.730499197422446
Galaxy,540,54.144,53.98885419366922
Newspoll,541,55.818,55.65539245710158
Nielsen,541,51.854000000000006,52.01662971184123
