Firm,Day,LNP FP,LNP FP adj
Advertiser,1,36.842,37.764
Advertiser,103,39.08,40.002
Newspoll,93,44.0,41.041
Newspoll,182,45.0,42.041
Advertiser,229,31.522,32.444
F2F Morgan,262,41.5,44.289
Newspoll,274,33.0,30.041
F2F Morgan,321,39.5,42.289
Newspoll,366,40.0,37.041
F2F Morgan,376,38.0,40.789
F2F Morgan,446,36.5,39.289
Newspoll,458,46.0,43.041
F2F Morgan,503,36.0,38.789
Newspoll,547,41.0,38.041
F2F Morgan,562,37.5,40.289
F2F Morgan,625,37.5,40.289
Newspoll,639,42.0,39.041
F2F Morgan,687,36.5,39.289
Newspoll,731,45.0,42.041
F2F Morgan,747,33.0,35.789
Advertiser,789,32.258,33.18
F2F Morgan,809,32.5,35.289
Newspoll,823,39.0,36.041
F2F Morgan,869,33.5,36.289
Newspoll,913,43.0,40.041
F2F Morgan,930,31.0,33.789
Advertiser,936,32.0,32.922
Advertiser,969,40.0,40.922
F2F Morgan,991,31.5,34.289
Newspoll,1005,41.0,38.041
F2F Morgan,1052,35.5,38.289
Advertiser,1088,33.696,34.618
Newspoll,1097,43.0,40.041
F2F Morgan,1113,33.5,36.289
Advertiser,1167,36.364,37.286
F2F Morgan,1175,32.5,35.289
Newspoll,1189,40.0,37.041
Advertiser,1223,29.348,30.27
F2F Morgan,1234,31.5,34.289
Newspoll,1278,38.0,35.041
F2F Morgan,1295,30.0,32.789
F2F Morgan,1356,35.0,36.998
Newspoll,1370,43.0,40.931
F2F Morgan,1417,39.5,40.517
Advertiser,1431,42.222,42.261
Newspoll,1438,45.0,43.71
F2F Morgan,1478,41.5,42.39
Newspoll,1482,45.0,43.71
Advertiser,1517,47.253,47.292
F2F Morgan,1523,46.0,46.89
Morgan Phone,1541,44.0,44.308
Sunday Mail,1542,43.3,43.245
Advertiser,1545,43.333,43.372
Newspoll,1546,43.0,41.71
Morgan Phone,1546,39.5,39.808
