Firm,Day,KAP FP,KAP FP adj
Galaxy,1,7.0,6.381
Morgan Phone,19,3.5,4.17
ReachTEL,42,7.4,4.829
Morgan Phone,55,3.5,4.17
Morgan Phone,82,5.0,5.67
Newspoll,86,1.0,3.233
ReachTEL,85,9.4,6.829
Galaxy,95,7.0,6.381
ReachTEL,116,9.4,6.829
ReachTEL,146,11.0,8.429
Newspoll,178,4.0,6.233
ReachTEL,186,8.9,6.329
Essential,194,7.0,7.588
ReachTEL,207,12.1,9.529
ReachTEL,242,10.5,7.929
Newspoll,270,3.0,5.233
ReachTEL,277,11.5,8.929
Essential,298,7.0,7.588
ReachTEL,305,10.1,7.529
ReachTEL,333,12.7,10.129
Newspoll,359,3.0,5.233
Galaxy,366,8.0,7.381
ReachTEL,366,10.4,7.829
ReachTEL,415,5.7,3.129
Galaxy,445,6.0,5.381
Galaxy,542,5.0,4.381
Newspoll,543,2.0,4.233
Essential,543,3.0,3.588
Essential,573,3.0,3.588
Essential,604,3.0,3.588
Newspoll,635,1.0,3.233
Essential,635,2.0,2.588
Essential,663,3.0,3.588
Essential,694,3.0,3.588
Newspoll,724,2.0,4.233
Essential,724,2.0,2.588
Essential,756,2.0,2.551
Essential,786,1.0,1.46
ReachTEL,792,3.4,1.672
Galaxy,814,3.0,2.747
Newspoll,816,1.0,2.474
Essential,817,2.0,2.362
Essential,848,3.0,3.27
Essential,878,3.0,3.221
SMS Morgan,888,2.0,2.048
Newspoll,908,1.0,1.969
SMS Morgan,916,3.5,3.548
Essential,930,3.0,3.221
Newspoll,962,1.0,1.969
SMS Morgan,971,3.5,3.548
Newspoll,982,2.0,2.969
Galaxy,982,2.0,2.008
