Firm,Day,OTH FP,OTH FP adj
ResolvePM,373,16.0,15.131
ResolvePM,434,17.0,16.131
ResolvePM,498,17.0,16.131
ResolvePM,557,18.0,17.131
ResolvePM,649,21.0,20.131
ResolvePM,861,17.0,16.231
Essential,867,11.609,12.281
Morgan multi-mode,875,19.5,16.937
Newspoll2,881,13.0,13.586
Freshwater,905,17.0,17.142
Morgan multi-mode,905,22.0,19.218
ResolvePM,922,16.0,15.383
Morgan multi-mode,936,16.5,13.499
Morgan multi-mode,966,21.0,17.955
YouGov,998,17.0,17.857
Morgan multi-mode,998,23.0,19.955
ResolvePM,1004,18.0,17.433
Newspoll2,1035,15.0,15.857
Freshwater,1037,15.0,15.252
ResolvePM,1038,20.0,19.433
SMS Morgan,1039,23.0,22.217
SMS Morgan,1053,19.0,18.217
ResolvePM2,1058,16.0,16.048
Freshwater,1061,16.0,16.252
Newspoll2,1062,16.0,16.857
