Firm,Day,OTH FP,OTH FP adj
Newspoll,1,10.0,8.702
Newspoll,182,16.0,14.702
Newspoll,274,13.0,11.702
SMS Morgan,317,9.0,8.915
SMS Morgan,345,8.0,7.915
Newspoll,366,10.0,8.702
SMS Morgan,373,12.0,11.915
SMS Morgan,428,9.5,9.415
Newspoll,457,11.0,9.702
SMS Morgan,457,7.5,7.415
SMS Morgan,484,10.0,9.915
SMS Morgan,513,8.5,8.415
Newspoll,547,13.0,11.702
SMS Morgan,554,8.0,7.915
SMS Morgan,582,8.0,7.915
SMS Morgan,624,9.0,8.915
SMS Morgan,653,9.0,8.915
SMS Morgan,696,13.0,12.915
Essential,730,10.0,9.392
Newspoll2,731,6.0,6.839
SMS Morgan,749,12.5,12.415
SMS Morgan,807,9.5,9.415
Essential,823,10.0,9.392
ReachTEL,853,5.0,5.121
SMS Morgan,862,7.0,6.915
SMS Morgan,879,8.5,8.415
Newspoll2,883,7.0,7.839
Essential,913,9.0,8.392
SMS Morgan,922,10.0,9.915
Essential,1004,12.0,11.272
SMS Morgan,1005,11.0,10.912
ReachTEL,1035,12.2,12.464
SMS Morgan,1066,12.0,11.906
ReachTEL,1077,13.6,13.954
Newspoll2,1082,10.0,10.229
Essential,1096,13.0,11.97
ReachTEL,1154,15.3,15.68
Newspoll2,1173,18.0,18.185
Essential,1174,20.7,19.67
Essential,1188,17.0,15.97
ReachTEL,1188,15.1,15.48
ReachTEL,1202,12.7,13.08
Galaxy,1203,16.0,15.5
Newspoll2,1209,15.0,15.185
ReachTEL,1210,11.7,12.08
