Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,44.5,40.52
Westpoll,40,48.889,45.08
F2F Morgan,62,44.5,40.52
Westpoll,94,44.444,40.635
F2F Morgan,123,43.0,39.02
Westpoll,132,47.778,43.969
Newspoll,137,35.0,35.862
F2F Morgan,184,41.5,37.52
Newspoll,229,35.0,35.862
F2F Morgan,245,40.0,36.02
F2F Morgan,307,38.5,34.52
Newspoll,321,34.0,34.862
Westpoll,335,37.0,33.191
F2F Morgan,366,39.0,35.02
Westpoll,407,45.0,41.191
Newspoll,410,39.0,39.862
F2F Morgan,427,42.0,38.02
F2F Morgan,488,40.0,36.02
Westpoll,499,44.0,40.191
Newspoll,502,37.0,37.862
F2F Morgan,549,41.5,37.52
Westpoll,591,43.0,39.191
Newspoll,594,35.0,35.862
F2F Morgan,610,41.0,37.02
Westpoll,643,43.0,39.191
F2F Morgan,672,41.0,37.02
Westpoll,674,40.0,36.191
Newspoll,686,36.0,36.862
Westpoll,713,42.0,38.191
F2F Morgan,731,43.0,39.02
Newspoll,775,39.0,39.862
F2F Morgan,792,44.0,40.02
Westpoll,824,41.0,37.191
F2F Morgan,853,44.5,40.52
Westpoll,855,39.0,35.191
Newspoll,867,34.0,34.862
Westpoll,892,33.0,29.191
F2F Morgan,914,43.5,39.52
Westpoll,927,36.0,32.191
Newspoll,959,35.0,35.862
F2F Morgan,975,40.0,36.02
Westpoll,1020,42.0,38.191
F2F Morgan,1037,44.5,40.52
Westpoll,1046,44.0,40.191
Newspoll,1051,37.0,37.862
Westpoll,1068,47.0,43.191
F2F Morgan,1097,44.0,40.02
Westpoll,1099,46.0,42.191
Westpoll,1129,44.0,40.191
Newspoll,1141,38.0,38.862
Westpoll,1160,45.0,41.191
Westpoll,1190,45.0,41.249
Westpoll,1221,45.783,42.497
Westpoll,1313,40.909,38.844
Newspoll,1325,35.0,34.895
Westpoll,1343,39.08,37.015
Westpoll,1381,43.956,41.891
Newspoll,1400,42.0,41.895
Westpoll,1403,43.956,41.891
