Firm,Day,ALP TPP,ALP TPP adj
Newspoll,1,55.817400000000006,55.97184264589992
Newspoll,62,60.60000000000001,60.75444264589992
Newspoll,124,55.8,55.95444264589991
Nielsen,148,57.971000000000004,57.859719465316786
Newspoll,184,56.8,56.95444264589991
Newspoll,245,54.959399999999995,55.11384264589991
Newspoll,306,54.2174,54.37184264589991
Newspoll,367,51.7478,51.90224264589991
Nielsen,416,55.1768,55.06551946531678
Newspoll,428,57.336200000000005,57.49064264589992
Newspoll,490,60.3304,60.48484264589991
Newspoll,610,55.959399999999995,56.11384264589991
Newspoll,671,56.6348,56.78924264589991
Newspoll,732,57.7478,57.90224264589991
Saulwick,782,59.5536,58.824388284000825
Newspoll,793,56.2116,56.36604264589991
Nielsen,854,53.959399999999995,53.84811946531678
Newspoll,855,53.376799999999996,53.53124264589991
Morgan phone,877,49.2797,49.31518880415324
Newspoll,914,51.376799999999996,51.53124264589991
Newspoll,975,53.2,53.354442645899915
Newspoll,1036,55.1594,55.31384264589991
Essential,1097,51.6348,51.822758796596105
Galaxy,1102,51.1246,51.05255489496248
Morgan phone,1114,52.127500000000005,52.162988804153244
Newspoll,1122,52.48400000000001,52.63844264589992
Nielsen,1123,53.9536,53.842319465316784
Nielsen,1138,53.11880000000001,53.00751946531679
Newspoll,1137,50.1246,50.279042645899914
Galaxy,1145,51.11880000000001,51.04675489496249
Morgan phone,1148,52.88980000000001,52.92528880415325
JWS Research,1148,52.9014,52.485252268960785
Galaxy,1151,49.542,49.469954894962484
Morgan phone,1150,48.671,48.70648880415324
Nielsen,1151,47.959399999999995,47.84811946531678
Newspoll,1151,47.7478,47.90224264589991
