Firm,Day,GRN FP,GRN FP adj
Newspoll,1,5.0,6.245
Newspoll,62,6.0,7.245
Newspoll,123,7.0,8.245
Newspoll,185,5.0,6.245
F2F Morgan,199,6.5,6.837
F2F Morgan,228,8.5,8.837
Newspoll,245,8.0,9.245
Taverner,253,14.0,13.394
F2F Morgan,259,10.5,10.837
F2F Morgan,289,9.5,9.837
Newspoll,306,7.0,8.245
F2F Morgan,320,8.5,8.837
F2F Morgan,350,10.0,10.337
Newspoll,367,8.0,9.245
F2F Morgan,381,8.5,8.837
F2F Morgan,412,9.0,9.337
Newspoll,428,9.0,10.245
F2F Morgan,442,7.0,7.337
F2F Morgan,473,8.5,8.837
Newspoll,489,8.0,9.245
F2F Morgan,503,9.0,9.337
F2F Morgan,534,6.5,6.837
Newspoll,551,8.0,9.245
F2F Morgan,565,8.0,8.337
F2F Morgan,593,9.0,9.337
Newspoll,610,8.0,9.245
F2F Morgan,624,7.5,7.837
F2F Morgan,654,7.5,7.837
Newspoll,671,6.0,7.245
F2F Morgan,685,8.0,8.337
F2F Morgan,715,7.0,7.337
Newspoll,732,5.0,6.245
F2F Morgan,746,7.5,7.837
F2F Morgan,777,8.0,8.337
Newspoll,793,8.0,9.245
F2F Morgan,807,9.0,9.337
F2F Morgan,838,7.5,7.837
Newspoll,854,7.0,8.245
F2F Morgan,868,10.5,10.837
F2F Morgan,900,8.5,8.837
Newspoll,916,6.0,7.245
F2F Morgan,930,7.0,7.337
F2F Morgan,958,8.5,8.837
Newspoll,975,6.0,7.245
F2F Morgan,989,8.5,8.837
F2F Morgan,1019,7.0,7.337
Newspoll,1036,7.0,8.245
F2F Morgan,1050,7.0,7.337
F2F Morgan,1080,6.5,6.837
Nielsen,1097,9.0,7.765
Newspoll,1097,6.0,7.198
F2F Morgan,1111,6.0,6.455
F2F Morgan,1142,6.5,7.116
Newspoll,1158,7.0,7.849
F2F Morgan,1172,5.5,6.277
F2F Morgan,1203,6.5,7.449
Nielsen,1206,11.0,9.094
Newspoll,1219,7.0,7.547
F2F Morgan,1233,6.0,6.981
F2F Morgan,1264,8.0,8.981
Newspoll,1281,7.0,7.547
Taverner,1281,9.0,8.731
Nielsen,1329,10.0,8.07
Galaxy,1329,10.0,9.783
