Firm,Day,SFF FP,SFF FP adj
ReachTEL,908,2.4,2.232
ReachTEL,1258,6.5,6.363
uComms,1329,3.4,3.345
uComms,1426,4.8,4.745
Galaxy,1435,3.0,3.166
