Firm,Day,LIB FP,LIB FP adj
F2F Morgan,1,31.0,33.782
Westpoll,3,44.211,43.08
Westpoll,33,48.387,47.256
F2F Morgan,62,36.0,38.782
Westpoll,62,43.158,42.027
Westpoll,96,43.478,42.348
F2F Morgan,123,35.0,37.782
Westpoll,124,42.553,41.423
Westpoll,160,42.708,41.578
F2F Morgan,184,34.5,37.282
Westpoll,188,41.935,40.805
Newspoll,229,39.0,38.604
F2F Morgan,245,34.0,36.782
F2F Morgan,307,33.5,36.282
Newspoll,321,35.0,34.604
F2F Morgan,366,35.0,37.782
Westpoll,372,34.0,32.869
Westpoll,397,35.0,33.869
Newspoll,410,37.0,36.604
F2F Morgan,427,34.0,36.782
Westpoll,433,36.0,34.869
Westpoll,471,37.0,35.869
F2F Morgan,488,32.5,35.282
Newspoll,502,37.0,36.604
Westpoll,494,37.0,35.869
Westpoll,533,34.0,32.869
F2F Morgan,549,35.0,37.782
Westpoll,552,41.0,39.869
Westpoll,586,38.0,36.869
Newspoll,594,40.0,39.604
Westpoll,588,42.0,40.869
F2F Morgan,610,35.0,37.782
Westpoll,615,38.0,36.869
Westpoll,657,41.0,39.869
Newspoll,686,35.0,34.604
Westpoll,686,38.0,36.869
Westpoll,714,39.0,37.869
Westpoll,734,38.0,36.869
Newspoll,775,35.0,34.604
Westpoll,798,40.0,38.869
Westpoll,824,36.0,34.869
Newspoll,867,38.0,37.604
Westpoll,859,27.0,25.869
Westpoll,887,33.0,31.869
Westpoll,928,36.0,34.869
Newspoll,959,41.0,40.604
Westpoll,989,44.0,42.869
Westpoll,1027,35.0,33.96
Newspoll,1051,35.0,34.941
Newspoll,1142,31.0,31.616
Westpoll,1141,35.0,34.549
Westpoll,1211,40.0,39.549
Westpoll,1229,42.0,41.549
Newspoll,1230,37.0,37.616
Galaxy,1246,39.0,38.859
Westpoll,1246,35.0,34.549
Newspoll,1252,37.0,37.616
Westpoll,1251,37.7,37.249
