Firm,Day,DEM FP,DEM FP adj
Newspoll,1,6.0,5.214
Newspoll,91,5.0,4.214
Newspoll,113,7.0,6.214
Newspoll,152,5.0,4.214
Newspoll,214,7.0,6.214
Newspoll,275,5.0,4.214
Newspoll,367,8.0,7.214
Newspoll,426,3.0,2.214
Newspoll,487,5.0,4.214
Newspoll,548,7.0,6.214
Newspoll,609,9.0,8.214
Newspoll,670,6.0,5.214
Newspoll,732,5.0,4.214
Newspoll,791,5.0,4.214
Newspoll,852,6.0,5.214
Newspoll,913,6.0,5.214
Newspoll,974,6.0,5.214
Newspoll,1035,6.0,5.214
Newspoll,1097,7.0,6.214
Newspoll,1135,5.0,4.214
Newspoll,1142,3.0,2.214
Newspoll,1147,4.0,3.214
