Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,53.0,47.135
F2F Morgan,62,56.5,50.635
F2F Morgan,123,56.0,50.135
F2F Morgan,184,52.0,46.135
Newspoll,229,43.0,44.336
F2F Morgan,245,49.5,43.635
F2F Morgan,307,51.5,45.635
Newspoll,321,46.0,47.336
F2F Morgan,366,53.0,47.135
Newspoll,410,47.0,48.336
F2F Morgan,427,51.0,45.135
Newspoll,488,40.0,41.336
F2F Morgan,488,53.0,47.135
Newspoll,519,41.0,42.336
F2F Morgan,549,49.0,43.135
Newspoll,594,40.0,41.336
F2F Morgan,610,49.5,43.635
F2F Morgan,672,48.5,42.818
Newspoll,687,40.0,40.871
F2F Morgan,731,50.0,44.815
Newspoll,775,41.0,40.868
F2F Morgan,792,50.5,45.63
Newspoll,853,45.0,44.868
F2F Morgan,853,49.5,44.63
Galaxy,862,42.0,42.168
Galaxy,876,47.0,47.168
Newspoll,879,52.0,51.868
Newspoll,890,48.0,47.868
Galaxy,890,48.0,48.168
Morgan Phone,890,45.0,45.122
