Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,7.0,7.37
F2F Morgan,62,4.5,4.87
Advertiser,108,6.316,6.836
F2F Morgan,123,5.5,5.87
F2F Morgan,184,5.0,5.37
Newspoll,229,4.0,3.72
F2F Morgan,245,4.0,4.37
Newspoll,321,6.0,5.72
Newspoll,410,5.0,4.72
Newspoll,502,6.0,5.72
Newspoll,594,7.0,6.72
Newspoll,686,8.0,7.72
Newspoll,776,12.0,11.72
Newspoll,868,8.0,7.72
Advertiser,901,7.778,8.298
Newspoll,960,13.0,12.72
Newspoll,1052,10.0,9.72
Advertiser,1083,6.977,7.497
Newspoll,1219,11.0,10.715
Advertiser,1265,10.345,10.935
Advertiser,1293,7.955,8.579
Newspoll,1325,12.0,11.676
Advertiser,1348,10.112,10.778
Newspoll,1403,10.0,9.676
Advertiser,1405,8.421,9.086
Galaxy,1442,10.0,10.077
Newspoll,1448,9.3,8.976
