Firm,Day,DEM FP,DEM FP adj
AGB McNair,1,3.0,3.448
Newspoll,3,7.0,5.062
F2F Morgan,7,4.5,4.093
Newspoll,17,5.0,3.062
AGB McNair,19,3.0,3.448
F2F Morgan,21,4.0,3.593
AGB McNair,29,3.0,3.448
Newspoll,31,6.0,4.062
F2F Morgan,35,3.0,2.593
AGB McNair,42,4.0,4.448
Newspoll,45,5.0,3.062
F2F Morgan,49,4.5,4.093
AGB McNair,56,3.0,3.448
Newspoll,59,4.0,2.062
F2F Morgan,63,4.0,3.593
AGB McNair,70,4.0,4.448
Newspoll,73,6.0,4.062
F2F Morgan,77,5.0,4.593
AGB McNair,84,2.0,2.448
Newspoll,87,6.0,4.062
F2F Morgan,91,4.5,4.093
AGB McNair,98,3.0,3.448
Newspoll,101,7.0,5.062
F2F Morgan,105,4.0,3.593
AGB McNair,112,4.0,4.448
Newspoll,115,5.0,3.062
F2F Morgan,119,4.0,3.593
AGB McNair,126,5.0,5.448
Newspoll,129,6.0,4.062
F2F Morgan,133,4.5,4.093
AGB McNair,139,5.0,5.448
Newspoll,143,6.0,4.062
F2F Morgan,147,4.0,3.593
AGB McNair,153,4.0,4.448
Newspoll,157,9.0,7.062
F2F Morgan,157,3.5,3.093
AGB McNair,168,7.0,7.448
F2F Morgan,168,4.0,3.593
Newspoll,171,12.0,10.062
AGB McNair,182,6.0,6.448
F2F Morgan,182,4.0,3.593
Newspoll,185,9.0,7.062
Newspoll,192,8.0,6.062
AGB McNair,196,6.0,6.448
F2F Morgan,196,4.5,4.093
Newspoll,206,10.0,8.062
AGB McNair,210,5.0,5.448
F2F Morgan,210,6.5,6.093
Newspoll,220,9.0,7.062
AGB McNair,224,5.0,5.448
F2F Morgan,224,6.0,5.593
Newspoll,234,7.0,5.062
AGB McNair,238,5.0,5.448
F2F Morgan,238,5.0,4.593
Newspoll,248,8.0,6.062
AGB McNair,252,5.0,5.448
F2F Morgan,252,5.5,5.093
Newspoll,262,7.0,5.062
F2F Morgan,266,6.5,6.093
AGB McNair,269,6.0,6.448
Newspoll,276,8.0,6.062
AGB McNair,294,4.0,4.448
F2F Morgan,301,5.0,4.593
Newspoll,304,8.0,6.062
AGB McNair,304,4.0,4.448
F2F Morgan,315,5.0,4.593
Newspoll,318,6.0,4.062
AGB McNair,322,3.0,3.448
F2F Morgan,329,5.5,5.093
Newspoll,332,6.0,4.062
AGB McNair,336,5.0,5.448
F2F Morgan,343,6.5,6.093
Newspoll,346,7.0,5.062
AGB McNair,350,5.0,5.448
F2F Morgan,357,6.5,6.093
Newspoll,360,8.0,6.062
AGB McNair,364,6.0,6.448
F2F Morgan,371,6.5,6.093
Newspoll,374,6.0,4.062
AGB McNair,378,4.0,4.448
F2F Morgan,385,6.5,6.093
AGB McNair,392,5.0,5.448
Newspoll,395,7.0,5.062
F2F Morgan,399,5.5,5.093
AGB McNair,406,5.0,5.448
Newspoll,409,7.0,5.062
F2F Morgan,413,6.0,5.593
AGB McNair,420,4.0,4.448
Newspoll,423,7.0,5.062
F2F Morgan,427,5.5,5.093
AGB McNair,434,4.0,4.448
Newspoll,437,4.0,2.062
F2F Morgan,438,5.0,4.593
AGB McNair,448,4.0,4.448
F2F Morgan,448,5.0,4.593
Newspoll,451,5.0,3.062
AGB McNair,462,3.0,3.448
F2F Morgan,462,4.5,4.093
Newspoll,465,7.0,5.062
AGB McNair,476,3.0,3.448
F2F Morgan,476,5.0,4.593
Newspoll,479,6.0,4.062
AGB McNair,490,4.0,4.448
F2F Morgan,490,4.5,4.093
Newspoll,493,6.0,4.062
F2F Morgan,501,5.0,4.593
Newspoll,507,5.0,3.062
F2F Morgan,508,5.5,5.093
AGB McNair,504,3.0,3.448
F2F Morgan,515,5.5,5.093
AGB McNair,518,5.0,5.448
Newspoll,521,7.0,5.062
F2F Morgan,525,5.0,4.593
AGB McNair,532,4.0,4.448
Newspoll,535,6.0,4.062
F2F Morgan,539,5.5,5.093
AGB McNair,546,4.0,4.448
Newspoll,549,7.0,5.062
F2F Morgan,553,5.5,5.093
Newspoll,556,6.0,4.062
AGB McNair,567,5.0,5.448
F2F Morgan,567,5.0,4.593
Newspoll,570,6.0,4.062
AGB McNair,577,5.0,5.448
F2F Morgan,581,5.5,5.093
Newspoll,584,6.0,4.062
AGB McNair,588,3.0,3.448
F2F Morgan,595,5.5,5.093
Newspoll,598,5.0,3.062
AGB McNair,602,4.0,4.448
F2F Morgan,609,5.0,4.593
Newspoll,612,6.0,4.062
AGB McNair,616,4.0,4.448
F2F Morgan,623,5.5,5.093
Newspoll,626,7.0,5.062
AGB McNair,630,4.0,4.448
F2F Morgan,637,5.5,5.093
Newspoll,640,9.0,7.062
F2F Morgan,665,6.5,6.093
Newspoll,668,6.0,4.062
F2F Morgan,675,6.0,5.593
AGB McNair,682,5.0,5.448
Newspoll,682,7.0,5.062
F2F Morgan,682,7.0,6.593
