Firm,Day,GRN FP,GRN FP adj
ResolvePM,373,12.0,12.055
ResolvePM,434,12.0,12.055
ResolvePM,498,11.0,11.055
ResolvePM,557,10.0,10.055
ResolvePM,649,8.0,8.055
ResolvePM,861,10.0,9.933
Essential,867,9.77,10.016
Morgan multi-mode,875,12.5,12.252
Newspoll2,881,12.0,11.404
Freshwater,905,11.0,10.907
Morgan multi-mode,905,9.5,9.331
ResolvePM,922,11.0,10.751
Morgan multi-mode,936,11.5,11.41
Morgan multi-mode,966,12.0,11.926
YouGov,998,11.0,10.335
Morgan multi-mode,998,9.5,9.426
ResolvePM,1004,12.0,11.69
Newspoll2,1035,12.0,11.335
Freshwater,1037,10.0,9.973
ResolvePM,1038,11.0,10.69
SMS Morgan,1039,11.0,10.412
SMS Morgan,1053,13.0,12.412
ResolvePM2,1058,8.0,8.48
Freshwater,1061,10.0,9.973
Newspoll2,1062,11.0,10.335
