Firm,Day,OTH FP,OTH FP adj
SMS Morgan,1,9.0,8.726
SMS Morgan,42,5.0,4.726
SMS Morgan,70,9.0,8.726
SMS Morgan,112,6.5,6.226
SMS Morgan,141,18.5,18.226
Newspoll2,143,9.0,8.441
Essential,187,10.0,10.932
SMS Morgan,184,8.0,7.726
Essential,218,10.0,10.932
Newspoll2,234,9.0,8.441
SMS Morgan,239,10.5,10.226
Essential,248,10.0,10.932
Essential,279,9.0,9.932
SMS Morgan,295,9.0,8.726
Essential,310,11.0,11.932
Essential,339,9.0,9.932
SMS Morgan,351,11.5,11.226
Essential,401,10.0,10.932
SMS Morgan,406,8.0,7.726
Essential,461,10.0,10.932
SMS Morgan,498,14.5,14.226
Essential,492,11.0,11.932
ReachTEL,502,10.4,9.474
Newspoll2,509,11.0,10.441
Essential,523,11.0,11.932
SMS Morgan,539,9.0,8.726
Essential,553,10.0,10.932
Essential,584,11.0,11.932
Newspoll2,589,12.0,11.441
ReachTEL,600,12.5,11.574
Essential,614,10.0,10.932
ReachTEL,650,20.9,19.974
Essential,676,12.0,12.932
Newspoll2,690,16.0,15.441
Essential,766,11.0,11.932
Essential,827,11.0,11.932
Essential,858,10.0,10.932
Essential,889,10.0,10.932
ReachTEL,908,14.7,13.774
Essential,919,11.0,11.932
Essential,950,10.0,10.932
Essential,980,11.0,11.932
Newspoll2,1043,17.0,16.441
ReachTEL,1069,10.6,9.674
ReachTEL,1258,18.4,17.56
Galaxy,1328,15.0,14.981
uComms,1329,17.1,16.292
Newspoll2,1387,15.0,14.187
Essential,1404,15.0,14.977
uComms,1426,16.6,15.792
Newspoll2,1429,19.0,18.187
Galaxy,1435,12.0,11.981
Newspoll2,1439,14.0,13.187
