Firm,Day,GRN FP,GRN FP adj
Morgan multi-mode,19,12.5,11.895
Morgan multi-mode,26,11.0,10.395
Newspoll2,69,12.0,12.842
Morgan multi-mode,82,11.327,10.722
Morgan multi-mode,89,11.53,10.925
ResolvePM,90,12.0,12.185
Morgan multi-mode,96,10.593,9.988
Morgan multi-mode,103,11.979,11.374
Newspoll2,105,13.0,13.842
Morgan multi-mode,110,12.141,11.535
Morgan multi-mode,117,11.89,11.284
ResolvePM,120,10.0,10.185
Morgan multi-mode,124,11.902,11.297
Morgan multi-mode,131,11.076,10.471
Morgan multi-mode,138,10.688,10.083
ResolvePM,141,12.0,12.185
Morgan multi-mode,145,11.611,11.006
Morgan multi-mode,152,10.957,10.352
Morgan multi-mode,159,11.702,11.097
Newspoll2,161,11.0,11.842
ResolvePM,160,13.0,13.185
Morgan multi-mode,162,12.0,11.395
Morgan multi-mode,166,10.966,10.361
Morgan multi-mode,173,11.364,10.759
Morgan multi-mode,180,11.147,10.542
Morgan multi-mode,187,10.774,10.169
Essential,189,13.8,12.381
Morgan multi-mode,194,13.951,13.346
Newspoll2,195,11.0,11.842
ResolvePM,195,11.0,11.185
Essential,202,13.684,12.265
Morgan multi-mode,203,12.704,12.098
Freshwater,210,12.0,11.392
Morgan multi-mode,233,12.258,11.653
Essential,244,14.737,13.317
ResolvePM,246,11.0,11.185
Morgan multi-mode,247,11.425,10.82
Newspoll2,259,11.0,11.842
Essential,259,17.895,16.475
Morgan multi-mode,257,12.5,11.895
Morgan multi-mode,264,12.405,11.8
Morgan multi-mode,271,13.109,12.504
ResolvePM,272,10.0,10.185
Essential,272,14.894,13.474
Morgan multi-mode,278,13.203,12.598
Morgan multi-mode,285,11.302,10.697
Essential,286,12.903,11.484
Newspoll2,287,10.0,10.842
Morgan multi-mode,292,12.541,11.935
Morgan multi-mode,299,12.798,12.193
Essential,300,14.737,13.317
ResolvePM,300,13.0,13.185
Morgan multi-mode,306,13.195,12.59
Newspoll2,314,10.0,10.842
