Firm,Day,KAP FP,KAP FP adj
Galaxy,883,4.0,4.043
Galaxy,951,4.0,4.045
Newspoll,972,5.0,4.941
Galaxy,972,5.0,5.045
Galaxy,1001,8.0,8.045
Morgan Phone,1007,8.5,8.476
Newspoll,1007,9.0,8.941
