Firm,Day,NAT FP,NAT FP adj
F2F Morgan,1,4.0,3.444
Westpoll,3,3.158,3.992
Westpoll,33,3.226,4.06
F2F Morgan,62,4.0,3.444
Westpoll,62,3.158,3.992
Westpoll,96,3.261,4.095
F2F Morgan,123,4.0,3.444
Westpoll,124,2.128,2.961
Westpoll,160,1.042,1.875
F2F Morgan,184,4.0,3.444
Westpoll,188,2.151,2.984
Newspoll,229,4.0,3.962
F2F Morgan,245,4.0,3.444
F2F Morgan,307,4.0,3.444
Newspoll,321,4.0,3.962
F2F Morgan,366,4.0,3.444
Westpoll,372,2.0,2.834
Westpoll,397,2.0,2.834
Newspoll,410,3.0,2.962
F2F Morgan,427,4.0,3.444
Westpoll,433,2.0,2.834
Westpoll,471,2.0,2.834
F2F Morgan,488,4.0,3.444
Newspoll,502,3.0,2.962
Westpoll,494,0.5,1.334
Westpoll,533,2.0,2.834
F2F Morgan,549,4.0,3.444
Westpoll,552,2.0,2.834
Westpoll,586,2.0,2.834
Newspoll,594,2.0,1.962
Westpoll,588,2.0,2.834
Westpoll,615,2.0,2.834
Westpoll,657,2.0,2.834
Newspoll,686,4.0,3.962
Westpoll,686,2.0,2.834
Westpoll,714,2.0,2.834
Westpoll,734,2.0,2.834
Newspoll,775,3.0,2.962
Westpoll,798,4.0,4.834
Westpoll,824,3.0,3.834
Newspoll,867,5.0,4.962
Westpoll,859,4.0,4.834
Westpoll,887,3.0,3.834
Newspoll,959,4.0,3.962
Newspoll,1051,3.0,3.005
Newspoll,1142,4.0,4.09
Westpoll,1141,3.0,3.452
Westpoll,1211,7.0,7.452
Westpoll,1229,4.0,4.452
Newspoll,1230,5.0,5.09
Galaxy,1246,5.0,5.495
Westpoll,1246,7.0,7.452
Newspoll,1252,6.0,6.09
Westpoll,1251,4.5,4.952
