Firm,Day,LNP FP,LNP FP adj
SMS Morgan,1,47.5,46.977
SMS Morgan,42,53.5,52.977
SMS Morgan,70,49.5,48.977
SMS Morgan,112,49.5,48.977
SMS Morgan,141,49.0,48.477
Newspoll2,143,47.0,47.873
Essential,187,48.0,47.82
SMS Morgan,184,54.0,53.477
Essential,218,48.0,47.82
Newspoll2,234,48.0,48.873
SMS Morgan,239,52.0,51.477
Essential,248,47.0,46.82
Essential,279,47.0,46.82
SMS Morgan,295,52.0,51.477
Essential,310,46.0,45.82
Essential,339,49.0,48.82
SMS Morgan,351,46.0,45.477
Essential,401,44.0,43.82
SMS Morgan,406,46.0,45.477
Essential,461,45.0,44.82
SMS Morgan,498,39.0,38.477
Essential,492,45.0,44.82
ReachTEL,502,42.9,42.449
Newspoll2,509,42.0,42.873
Essential,523,42.0,41.82
SMS Morgan,539,37.0,36.477
Essential,553,43.0,42.82
Essential,584,44.0,43.82
Newspoll2,589,41.0,41.873
ReachTEL,600,43.8,43.349
Essential,614,42.0,41.82
ReachTEL,650,42.7,42.249
Essential,676,43.0,42.82
Newspoll2,690,40.0,40.873
Essential,766,42.0,41.82
Essential,827,43.0,42.82
Essential,858,43.0,42.82
Essential,889,43.0,42.82
ReachTEL,908,40.9,40.449
Essential,919,39.0,38.82
Essential,950,43.0,42.82
Essential,980,40.0,39.82
Newspoll2,1043,38.0,38.873
ReachTEL,1069,44.7,44.249
ReachTEL,1258,37.3,37.116
Galaxy,1328,37.0,37.061
uComms,1329,37.7,38.08
Newspoll2,1387,39.0,39.03
Essential,1404,39.0,38.942
uComms,1426,37.5,37.88
Newspoll2,1429,40.0,40.03
Galaxy,1435,41.0,41.061
Newspoll2,1439,41.0,41.03
