Firm,Day,KAP FP,KAP FP adj
Essential,1,2.0,2.109
Galaxy,330,4.0,3.852
Galaxy,426,4.0,3.852
Galaxy,902,3.0,2.927
YouGov,1018,2.0,2.066
SMS Morgan,1041,2.0,2.085
