Firm,Day,ALP FP,ALP FP adj
SMS Morgan,1,37.5,38.755
SMS Morgan,28,36.5,37.755
Galaxy,54,39.0,39.69
SMS Morgan,57,40.0,41.255
Galaxy,96,40.0,40.69
ReachTEL,97,37.6,38.391
SMS Morgan,98,34.0,35.255
SMS Morgan,126,39.5,40.755
SMS Morgan,168,36.0,37.255
Galaxy,187,40.0,40.69
SMS Morgan,197,38.5,39.755
Newspoll2,198,41.0,40.022
SMS Morgan,240,34.5,35.755
Essential,243,40.0,39.399
Newspoll2,274,41.0,40.022
Essential,274,39.0,38.399
Galaxy,277,37.0,37.69
SMS Morgan,294,38.5,39.755
Essential,304,37.0,36.399
Essential,335,40.0,39.399
SMS Morgan,351,36.5,37.755
Galaxy,362,37.0,37.69
Essential,366,38.0,37.399
Galaxy,390,39.0,39.69
Essential,396,41.0,40.399
SMS Morgan,410,37.5,38.755
Galaxy,426,37.0,37.69
Essential,426,40.0,39.399
ReachTEL,437,36.9,37.691
Galaxy,454,36.0,36.69
Newspoll2,456,38.0,37.022
Essential,456,38.0,37.399
SMS Morgan,466,35.5,36.755
Essential,487,36.0,35.399
Essential,517,37.0,36.399
Galaxy,537,33.0,33.69
Essential,548,40.0,39.399
SMS Morgan,553,36.5,37.755
Essential,579,35.0,34.399
SMS Morgan,595,35.5,36.755
Essential,609,36.0,35.399
Galaxy,636,35.0,35.69
Essential,640,37.0,36.399
Essential,670,33.0,32.399
Galaxy,726,31.0,31.69
ReachTEL,726,30.9,31.691
Essential,732,35.0,34.399
Galaxy,803,36.0,36.578
Essential,821,36.0,35.781
ReachTEL,839,31.9,32.672
Essential,882,34.0,34.259
Galaxy,902,35.0,35.244
Newspoll2,913,37.0,36.484
Essential,913,37.0,37.355
Essential,944,35.0,35.355
ReachTEL,957,34.8,35.557
Newspoll2,970,37.0,36.484
Essential,974,33.0,33.355
Galaxy,992,35.0,35.244
Essential,1001,36.0,36.355
ReachTEL,1008,34.0,34.757
Newspoll2,1013,36.0,35.484
Galaxy,1014,37.0,37.244
