Firm,Day,LNP FP,LNP FP adj
Advertiser,1,46.0,45.146
Advertiser,122,45.0,44.146
Newspoll,141,43.0,43.748
Advertiser,188,50.0,49.146
Newspoll,215,41.0,41.748
Advertiser,255,49.0,48.146
Advertiser,307,44.0,43.146
Advertiser,400,43.0,42.146
Newspoll,415,42.0,42.748
Newspoll,491,40.0,40.748
Newspoll,673,44.0,44.748
Advertiser,686,45.0,44.146
Newspoll,765,41.0,41.748
Advertiser,882,54.0,53.146
Newspoll,885,44.0,44.748
Newspoll,946,45.0,45.748
Galaxy,1127,44.0,43.823
Newspoll,1130,40.0,40.779
Galaxy,1219,46.0,45.823
Newspoll,1231,44.0,44.779
Newspoll,1247,41.0,41.779
