Firm,Day,OTH FP,OTH FP adj
SMS Morgan,1,10.5,10.936
SMS Morgan,28,10.0,10.436
Galaxy,54,10.469,9.994
SMS Morgan,57,10.0,10.436
Galaxy,96,12.0,11.525
ReachTEL,97,7.4,7.16
SMS Morgan,98,11.0,11.436
SMS Morgan,126,9.0,9.436
SMS Morgan,168,10.0,10.436
Galaxy,187,11.0,10.525
SMS Morgan,197,8.0,8.436
Newspoll2,198,12.0,11.563
SMS Morgan,240,12.0,12.436
Essential,243,11.0,10.629
Newspoll2,274,12.0,11.563
Essential,274,11.0,10.629
Galaxy,277,12.0,11.525
SMS Morgan,294,11.0,11.436
Essential,304,12.0,11.629
Essential,335,14.0,13.629
SMS Morgan,351,9.0,9.436
Galaxy,362,11.0,10.525
Essential,366,11.0,10.629
Galaxy,390,8.787,8.312
Essential,396,10.0,9.629
SMS Morgan,410,10.0,10.436
Galaxy,426,12.0,11.525
Essential,426,15.0,14.629
ReachTEL,437,9.5,9.26
Galaxy,454,11.0,10.525
Newspoll2,456,13.185,12.748
Essential,456,12.0,11.629
SMS Morgan,466,13.5,13.936
Essential,487,18.0,17.629
Essential,517,15.0,14.629
Galaxy,537,20.704,20.229
Essential,548,16.0,15.629
SMS Morgan,553,15.5,15.936
Essential,579,20.0,19.629
SMS Morgan,595,19.0,19.436
Essential,609,20.0,19.629
Galaxy,636,20.0,19.525
Essential,640,21.0,20.629
Essential,670,21.0,20.629
Galaxy,726,28.0,27.525
ReachTEL,726,28.9,28.66
Essential,732,24.0,23.629
Galaxy,803,23.0,22.632
Essential,821,22.0,21.948
ReachTEL,839,23.4,22.487
Essential,882,21.0,21.347
Galaxy,902,22.0,21.953
Newspoll2,913,21.0,21.181
Essential,913,23.0,23.427
Essential,944,20.0,20.427
ReachTEL,957,23.9,22.437
Newspoll2,970,21.0,21.181
Essential,974,19.0,19.427
Galaxy,992,24.0,23.953
Essential,1001,22.0,22.427
ReachTEL,1008,29.0,27.537
Newspoll2,1013,20.0,20.181
Galaxy,1014,19.0,18.953
