Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,3.5,3.806
Nielsen,21,4.0,4.089
F2F Morgan,32,3.5,3.806
F2F Morgan,63,3.5,3.806
Nielsen,82,5.0,5.089
F2F Morgan,93,4.0,4.306
Newspoll,110,3.0,3.776
F2F Morgan,124,3.0,3.306
Nielsen,151,3.0,3.089
F2F Morgan,155,3.5,3.806
Newspoll,171,3.0,3.776
F2F Morgan,185,3.5,3.806
F2F Morgan,216,3.0,3.306
Newspoll,232,2.0,2.776
Nielsen,237,4.0,4.089
F2F Morgan,246,4.0,4.306
F2F Morgan,277,3.5,3.806
Newspoll,294,3.0,3.776
F2F Morgan,308,3.5,3.806
Nielsen,327,4.0,4.089
F2F Morgan,337,3.5,3.806
Newspoll,354,3.0,3.776
F2F Morgan,368,4.0,4.306
F2F Morgan,398,2.5,2.806
Newspoll,415,4.0,4.776
F2F Morgan,429,4.0,4.306
F2F Morgan,459,3.5,3.806
Nielsen,473,4.0,4.089
Newspoll,476,3.0,3.776
F2F Morgan,490,4.0,4.306
F2F Morgan,521,2.5,2.806
Newspoll,537,3.0,3.776
Nielsen,550,4.0,4.089
F2F Morgan,551,3.5,3.806
F2F Morgan,582,2.5,2.806
Newspoll,598,3.0,3.776
F2F Morgan,612,3.5,3.806
F2F Morgan,643,3.5,3.806
Newspoll,660,4.0,4.776
F2F Morgan,674,4.0,4.306
Nielsen,699,3.0,3.089
F2F Morgan,702,3.5,3.806
Newspoll,719,4.0,4.776
F2F Morgan,733,4.0,4.306
F2F Morgan,763,4.5,4.806
Newspoll,780,3.0,3.776
F2F Morgan,794,3.5,3.806
F2F Morgan,824,2.5,2.806
Newspoll,841,4.0,4.776
F2F Morgan,855,4.0,4.306
Nielsen,862,3.0,3.089
F2F Morgan,886,3.0,3.306
Newspoll,902,3.0,3.776
F2F Morgan,916,3.0,3.306
F2F Morgan,947,5.0,5.306
Newspoll,963,6.0,6.776
F2F Morgan,977,6.0,6.306
F2F Morgan,1008,4.0,4.306
Newspoll,1025,3.0,3.776
F2F Morgan,1039,6.0,6.306
F2F Morgan,1067,5.5,5.806
Newspoll,1084,4.0,4.776
F2F Morgan,1098,5.0,5.306
F2F Morgan,1128,6.0,6.306
Newspoll,1145,4.0,4.776
F2F Morgan,1159,5.5,5.806
F2F Morgan,1189,4.5,4.806
Newspoll,1206,5.0,5.841
F2F Morgan,1220,7.5,7.841
F2F Morgan,1251,7.5,7.892
Newspoll,1267,6.0,7.348
F2F Morgan,1281,9.0,9.44
F2F Morgan,1312,8.5,8.988
Newspoll,1328,7.0,8.756
F2F Morgan,1342,7.0,7.498
F2F Morgan,1373,7.5,7.998
Newspoll,1390,7.0,8.756
F2F Morgan,1404,8.0,8.498
Nielsen,1415,8.0,8.765
Nielsen,1423,10.0,10.765
Newspoll,1426,8.0,9.756
Morgan Phone,1430,16.0,13.286
Nielsen,1430,11.0,11.765
Nielsen,1437,10.0,10.765
Newspoll,1437,9.0,10.756
