Firm,Day,DEM FP,DEM FP adj
Advertiser,1,15.789,14.664
Advertiser,103,16.092,14.966
Advertiser,229,9.783,8.657
F2F Morgan,262,11.5,10.999
F2F Morgan,321,11.0,10.499
F2F Morgan,376,12.5,11.999
F2F Morgan,446,12.5,11.999
F2F Morgan,503,10.5,9.999
F2F Morgan,562,13.5,12.999
F2F Morgan,625,12.0,11.499
F2F Morgan,687,13.5,12.999
Newspoll,731,10.0,10.747
F2F Morgan,747,11.0,10.499
Advertiser,789,17.204,16.079
F2F Morgan,809,11.0,10.499
Newspoll,823,9.0,9.747
F2F Morgan,869,10.5,9.999
Newspoll,913,10.0,10.747
F2F Morgan,930,11.5,10.999
Advertiser,936,11.0,9.874
Advertiser,969,13.333,12.208
F2F Morgan,991,11.5,10.999
Newspoll,1005,8.0,8.747
F2F Morgan,1052,10.0,9.499
Advertiser,1088,13.043,11.918
Newspoll,1097,10.0,10.747
F2F Morgan,1113,12.0,11.499
Advertiser,1167,11.364,10.238
F2F Morgan,1175,10.5,9.999
Newspoll,1189,9.0,9.747
Advertiser,1223,11.957,10.831
F2F Morgan,1234,12.5,11.999
Newspoll,1278,15.0,15.747
F2F Morgan,1295,13.5,12.999
F2F Morgan,1356,14.5,14.006
Newspoll,1370,11.0,11.73
F2F Morgan,1417,11.5,11.014
Advertiser,1431,11.111,10.637
Newspoll,1438,9.0,9.716
F2F Morgan,1478,10.0,9.515
Newspoll,1482,10.0,10.716
Advertiser,1517,8.791,8.317
F2F Morgan,1523,8.0,7.515
Morgan Phone,1541,8.0,6.848
Sunday Mail,1542,12.2,10.95
Advertiser,1545,7.778,7.304
Newspoll,1546,7.0,7.716
Morgan Phone,1546,11.5,10.348
