Firm,Day,LNP FP,LNP FP adj
Newspoll,1,42.0,42.661
Newspoll,91,40.0,40.661
Newspoll,113,39.0,39.661
Newspoll,152,43.0,43.661
Newspoll,214,45.0,45.661
Newspoll,275,46.0,46.661
Newspoll,367,43.0,43.661
Newspoll,426,41.0,41.661
Newspoll,487,44.0,44.661
Newspoll,548,45.0,45.661
Newspoll,609,49.0,49.661
Newspoll,670,49.0,49.661
Newspoll,732,47.0,47.661
Newspoll,791,46.0,46.661
Newspoll,852,50.0,50.661
Newspoll,913,45.0,45.661
Newspoll,974,47.0,47.661
Newspoll,1035,45.0,45.661
Newspoll,1097,48.0,48.661
Newspoll,1135,47.0,47.661
Newspoll,1142,46.0,46.661
Newspoll,1147,43.0,43.661
