Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,7.5,7.325
Westpoll,40,4.444,4.945
F2F Morgan,62,8.0,7.825
Westpoll,94,4.444,4.945
F2F Morgan,123,7.5,7.325
Westpoll,132,5.556,6.057
Newspoll,137,9.0,9.475
F2F Morgan,184,6.5,6.325
Newspoll,229,9.0,9.475
F2F Morgan,245,8.0,7.825
F2F Morgan,307,8.5,8.325
Newspoll,321,6.0,6.475
Westpoll,335,9.0,9.501
F2F Morgan,366,10.5,10.325
Westpoll,407,7.0,7.501
Newspoll,410,6.0,6.475
F2F Morgan,427,7.0,6.825
F2F Morgan,488,8.5,8.325
Westpoll,499,9.0,9.501
Newspoll,502,8.0,8.475
F2F Morgan,549,13.0,12.825
Westpoll,591,7.0,7.501
Newspoll,594,10.0,10.475
F2F Morgan,610,8.5,8.325
Westpoll,643,9.0,9.501
F2F Morgan,672,8.5,8.325
Westpoll,674,11.0,11.501
Newspoll,686,8.0,8.475
Westpoll,713,10.0,10.501
F2F Morgan,731,12.0,11.825
Newspoll,775,9.0,9.475
F2F Morgan,792,9.0,8.825
Westpoll,824,8.0,8.501
F2F Morgan,853,7.0,6.825
Westpoll,855,9.0,9.501
Newspoll,867,8.0,8.475
Westpoll,892,8.0,8.501
F2F Morgan,914,9.5,9.325
Westpoll,927,10.0,10.501
Newspoll,959,7.0,7.475
F2F Morgan,975,10.0,9.825
Westpoll,1020,8.0,8.501
F2F Morgan,1037,7.5,7.325
Westpoll,1046,6.0,6.501
Newspoll,1051,7.0,7.475
Westpoll,1068,5.0,5.501
F2F Morgan,1097,8.5,8.325
Westpoll,1099,9.0,9.501
Westpoll,1129,8.0,8.501
Newspoll,1141,7.0,7.475
Westpoll,1160,6.0,6.501
Westpoll,1190,7.0,7.511
Westpoll,1221,3.614,4.206
Westpoll,1313,5.682,6.484
Newspoll,1325,7.0,7.095
Westpoll,1343,4.598,5.4
Westpoll,1381,5.495,6.296
Newspoll,1400,6.0,6.095
Westpoll,1403,5.495,6.296
