Firm,Day,ALP FP,ALP FP adj
ResolvePM,1,44.0,44.298
ResolvePM,62,41.0,41.298
ResolvePM,124,38.0,38.298
ResolvePM,277,34.0,34.298
ResolvePM,341,33.0,33.298
Redbridge,337,35.0,34.171
ResolvePM,397,32.0,32.298
ResolvePM,453,30.0,30.298
Wolf&Smith,476,32.0,32.342
ResolvePM,509,32.0,32.298
Redbridge,573,37.0,36.171
ResolvePM,581,33.0,33.298
ResolvePM,643,29.0,29.298
DemosAU,695,33.0,33.027
ResolvePM,702,33.0,33.298
ResolvePM,793,38.0,38.298
ResolvePM,855,38.0,38.298
DemosAU,904,37.0,37.027
ResolvePM,916,37.0,37.298
Redbridge,946,38.0,37.171
Spectre,959,34.0,34.296
ResolvePM,993,37.0,37.316
SMS Morgan,1025,25.0,26.028
DemosAU,1035,34.0,33.941
ResolvePM,1047,29.0,29.36
ResolvePM,1097,32.0,32.396
DemosAU,1144,32.0,31.865
ResolvePM,1158,29.0,29.396
DemosAU,1211,32.0,31.865
