Firm,Day,ALP FP,ALP FP adj
SMS Morgan,1,45.0,44.146
SMS Morgan,19,41.5,40.646
SMS Morgan,59,43.0,42.146
SMS Morgan,76,41.0,40.146
SMS Morgan,117,43.5,42.646
Newspoll,126,41.0,41.052
SMS Morgan,145,42.0,41.146
SMS Morgan,187,41.0,40.146
SMS Morgan,216,39.0,38.146
SMS Morgan,259,40.0,39.146
Essential,262,36.0,35.544
Essential,293,38.0,37.544
Newspoll2,309,39.0,38.555
SMS Morgan,312,38.0,37.146
Essential,323,41.0,40.544
Essential,354,39.0,38.544
SMS Morgan,370,39.0,38.146
Essential,385,37.0,36.544
Essential,414,39.0,38.544
SMS Morgan,426,40.5,39.646
Essential,445,38.0,37.544
Essential,475,39.0,38.544
Essential,507,38.0,37.544
SMS Morgan,487,40.5,39.646
Essential,567,38.0,37.544
SMS Morgan,573,37.0,36.146
ReachTEL,584,34.6,35.742
SMS Morgan,614,39.0,38.146
Essential,628,39.0,38.544
Newspoll2,645,40.0,39.555
Essential,659,38.0,37.544
Galaxy,663,37.0,37.736
Essential,689,38.0,37.544
Essential,751,39.0,38.544
Galaxy,755,37.0,37.736
ReachTEL,771,30.3,31.442
Essential,840,38.0,37.544
Galaxy,857,33.0,33.736
Essential,901,38.0,37.544
Essential,932,40.0,39.544
Essential,963,41.0,40.544
Essential,993,38.0,37.544
Newspoll2,1024,38.0,37.555
Essential,1024,37.0,36.544
Essential,1054,37.0,36.544
Galaxy,1045,36.0,36.736
Newspoll2,1119,37.0,36.555
Newspoll2,1175,38.0,37.602
ReachTEL,1256,36.7,37.627
Galaxy,1291,38.0,38.223
Galaxy,1328,42.0,42.223
ReachTEL,1346,37.7,38.579
Galaxy,1369,40.0,40.223
Newspoll2,1371,41.0,40.867
uComms,1387,40.4,40.594
Galaxy,1395,40.0,40.223
uComms,1395,40.8,40.994
Newspoll2,1395,41.0,40.867
SMS Morgan,1397,39.5,39.787
