Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,49.0,46.083
F2F Morgan,32,53.0,50.083
Newspoll,49,47.0,47.807
F2F Morgan,63,51.5,48.583
F2F Morgan,91,51.0,48.083
Newspoll,108,49.0,49.807
F2F Morgan,122,52.0,49.083
F2F Morgan,152,49.5,46.583
Newspoll,169,43.0,43.807
F2F Morgan,183,48.0,45.083
F2F Morgan,213,48.5,45.583
Newspoll,230,42.0,42.807
F2F Morgan,244,48.0,45.083
F2F Morgan,275,49.0,46.083
Newspoll,291,44.0,44.807
F2F Morgan,305,48.5,45.583
F2F Morgan,336,46.0,43.083
Nielsen,347,41.0,41.69
Newspoll,352,43.0,43.807
F2F Morgan,366,47.5,44.583
F2F Morgan,397,48.0,45.083
Newspoll,414,45.0,45.807
F2F Morgan,428,53.0,50.083
F2F Morgan,457,48.5,45.583
Newspoll,474,46.0,46.807
F2F Morgan,488,52.0,49.083
F2F Morgan,518,49.0,46.083
Newspoll,535,46.0,46.807
F2F Morgan,549,47.0,44.083
Nielsen,550,44.0,44.69
F2F Morgan,579,50.5,47.583
Newspoll,596,46.0,46.807
F2F Morgan,610,47.0,44.083
F2F Morgan,641,48.0,45.083
Newspoll,657,41.0,41.807
F2F Morgan,671,42.5,39.583
F2F Morgan,702,41.5,38.583
Newspoll,718,38.0,38.807
F2F Morgan,732,45.0,42.083
F2F Morgan,763,43.5,40.583
Newspoll,780,37.0,37.807
F2F Morgan,794,48.5,45.583
F2F Morgan,822,45.5,42.583
Newspoll,839,43.0,43.807
F2F Morgan,853,43.5,40.583
F2F Morgan,883,46.5,43.583
Newspoll,900,44.0,44.807
F2F Morgan,914,43.5,40.583
F2F Morgan,944,45.5,42.583
Newspoll,961,42.0,42.807
F2F Morgan,975,47.0,44.083
F2F Morgan,1006,44.5,41.583
Newspoll,1022,43.0,43.807
F2F Morgan,1036,50.0,47.083
F2F Morgan,1067,47.5,44.583
Nielsen,1075,43.0,43.69
Newspoll,1083,41.0,41.807
F2F Morgan,1097,43.5,40.583
F2F Morgan,1128,48.0,45.083
Newspoll,1145,44.0,44.807
F2F Morgan,1159,48.0,45.083
F2F Morgan,1187,46.0,43.083
Newspoll,1204,44.0,44.754
F2F Morgan,1218,48.5,45.81
F2F Morgan,1236,48.0,45.537
F2F Morgan,1250,42.0,39.714
Nielsen,1256,43.0,43.636
Newspoll,1265,45.0,44.928
F2F Morgan,1279,46.5,44.593
F2F Morgan,1309,47.0,45.472
Newspoll,1326,46.0,45.209
F2F Morgan,1340,46.0,44.598
Nielsen,1344,43.0,43.574
Morgan Phone,1346,42.5,42.499
Morgan Phone,1377,41.0,40.999
Newspoll,1387,43.0,42.209
Galaxy,1407,44.0,43.721
Nielsen,1408,42.0,42.574
Morgan Phone,1411,41.0,40.999
Newspoll,1426,44.0,43.209
McNair,1433,39.0,39.426
Nielsen,1435,41.0,41.574
Morgan Phone,1436,44.0,43.999
Morgan Phone,1439,42.5,42.499
Galaxy,1439,42.0,41.721
Newspoll,1440,45.0,44.209
Nielsen,1440,40.0,40.574
